ASIN,UPC,Description,Cost
B00OQJVVEK,019045053834,"Ban Roll-On Antiperspirant Deodorant, Powder Fresh 3.5-Ounce 12/cs",4.2504
B01DD9UQJO,037000956631,Crest Scope Classic Mouthwash Original 50.7 oz 88/pt 4/cs,7.25
B0BBNB5N41,033200002604,Arm & Hammer Plus OxiClean Stain Fighters Fresh Scent 100.5 oz 50/pt4/cs,9.5
B0CZTTWWXG,072613473335,"All Liquid Laundry Detergent, Sunshine Fresh Scent OXI Plus Odor Lifter 36 oz 56/pt 6/cs",5.5002
B0DRPJK8MP,037000945970,Ariel Powder Laundry Detergent Original Scent 17 oz 24/cs,2.3496
B00LO2XXGG,033200186601,"Arm & Hammer Advanced White Toothpaste, Clean Mint 4.3oz 270/pt 12/cs",2.7504
B0BC2J9T8S,062338032931,Air Wick Automatic Spray Refill 2 Ct 5.89 Each Fresh New Day Pet Fresh Cotton 273/pt 3/cs,3.5001
B001E723SA,033200197447,"Arm & Hammer Ultra Max Antiperspirant Deodorant, Active Sport, 2.6oz 12/cs",2.4996
B000VE5EPQ,033200194705,ARM & HAMMER ULTRA MAX Deodorant- Powder Fresh- Solid 2.6oz 451/pt 12/cs,2.4996
B01HVOQFU6,033200186816,Arm & Hammer Toothpaste Whitening & Enamel Strengthening Fluoride 4.3oz 270/pt 12/cs,2.4
B07ZQL4QTC,062338965338,Air Wick V.I.P. Pre-Poop Toilet Spray Rosy Setter 1.85oz 378/pt 6/cs,2.5002
B01M4KTI1R,033200197928,ARM & Hammer Essentials Solid Deodorant Unscented 2.5 oz 12/cs,2.4996
B00GFGBAVQ,037000385929,"Crest Complete Whitening Plus Scope Minty Fresh Toothpaste, 0.85 Ounce 36/cs",0.7488
B01IAI8JA6,037000426899,Always Thin Pantiliners Regular Clean Fresh Scent 20 Each 24/cs,1.5
B00032BPCM,033200011309,Arm & Hammer pure Baking Soda 8 oz 24/cs,0.7488
B0BB87V13G,037000003403,Crest Toothpaste Cavity Protection Regular 0.85 oz 36/cs,0.8496
B0BMWDN781,037000537823,DAWN Simply Clean Dishwashing Liquid Original Scent 14.6 OZ 50/pt 20/cs,1.5
B08RHCYF1F,037000806578,"Febreze Light AIR Mist, Lavender 8.8 oz Each 2pk 180/pt 3/cs",3.2499
B01IADXNHU,037000827634,Ivory Bar Soap Aloe Scent 10pk 4 Ounces Each 76/pt 8/cs,6.5
B0C4M9LFL7,030772047675,Febreze Ocean Touch Fabric Spray Fabric Refresher 16.9 FL oz 100/pt 6/cs,3.6498
B00TSPOA4K,037000319726,"Febreze To Go Fabric Refresher With Gain Original Scent, 2.8-Ounce 12/cs",2.4504
B0CPKFZ3VH,037000523703,Ivory Bar Soap Original 317oz Each 2pk Total 6.3oz 84/pt 36/cs,1.35
B0CQ3D4VJ2,030772121160,Tide Liquid Laundry Detergent 63oz Clean Breeze Brise Pure 60/pt 4/cs,12.0
B0F6LYJN4Z,024200044879,"Persil Advanced Clean Liquid Laundry Detergent, Oxi + Odor, Power, 40 fl oz 56/pt 6/cs",5.5002
B0F8JLT17R,030772225752,Olay Body Wash Wickedly Wonderful Hyaluronic 20 fl oz 168/pt 4/cs,5.5
B08R7FSXHW,037000798927,"Swiffer Heavy Duty Pet, Dry Sweeping Cloth Refills with Febreze Odor Defense, 10 Count 168/pt 4/cs",4.65
B00DZQ6YOC,309978695547,Revlon ColorSilk Permanent Beautiful Color 54 Light Golden Brown 140/pt 12/cs,2.4996
B00L3TEQXY,022200940207,Speed Stick Deodorant Regular Light 1.8 oz 12/cs,1.65
B0FTZPSXLS,034000463053,HERSHEY'S Miniatures Assorted Chocolate Candy 30oz 32/pt 8/cs,6.7504
B003T0F8V4,037000426899,Always Thin Pantiliners Regular Clean Fresh Scent 20 Each 24/cs,1.5
B0B17KDC3C,044600324289,"Clorox Performance Bleach, 121 Oz 56/pt 3/cs",5.7501
B06XJNZHQC,033200186267,Arm & Hammer Advance White Clean Mint Toothpaste 6oz 275/pt 12/cs,2.7504
B07ZQL7PQL,062338965338,Air Wick V.I.P. Pre-Poop Toilet Spray Rosy Setter 1.85oz 378/pt 6/cs,2.5002
B01LZ5LQWC,017000092706,Dial Hand Soap 7.5oz Liquid Himalayan Pink Sal 144/pt 12/cs,1.5
B0CCGFRFWF,030772087664,Downy Infusions Refresh Birch Water Botanicals Scent Booster Beads 24 oz 80/pt 4/cs,12.5
B084WS5GY2,079400593016,Dove Anti-Perspirant Advance Clear Finish 2.6 oz 12/cs,3.75
B001ET78K6,079400507204,Dove Invisible Solid 2.6oz Powder 12/cs,3.0
B0CRCMG4LV,030772101247,Febreze Air mist Refresh & Energize Zesty Orange Blossom 8.8oz 180/pt 6/cs,3.2502
B01MSWFKCR,079400535764,Dove Beauty Advanced Care Cool Essentials 72-Hour Antiperspirant & Deodorant Stick - 2.6oz 252/pt 12/cs,3.75
B0F8BXFTBB,030772164976,Ivory Gentle Exfoliating Bar Soap Notes of Warm Vanilla + Oat Milk 4pk 3.17Each 120/pt 8/cs,2.7504
B0CRJT2YF4,042000946490,Quilted Northern Ultra Soft & Strong Super Mega Toilet Paper White (438 2-ply Sheets Roll) 8 Rolls 45/pt 3/cs,6.6501
B0CL1HSKHV,022600003021,Nair Shower Cream Hair Remover Moroccan Argan Oil & Orange Blossom 12 oz 12/cs,6.5004
B09VDQ5HVV,019200998505,Resolve Pet Specialist Stain & Odor Remover Spray 32 oz 12/cs,4.5
