ASIN,UPC,Keepa Barcode,Description,Cost,Sell Price,Seller Count,Amazon Present %,Amazon Is Buybox,Monthly Sold (Keepa),BSR,Category,Title
B00XTTFI6K,,5060339717647,After Sun Gel | SKUs: LU-10717,,16.95,4,0.0,False,10000,659,After Sun,"Seven Minerals Aloe Vera Gel with Freshly Cut Pure Organic Aloe - Big 12oz - Texas Grown, HighestQuality, Vegan, Unscented, Non-Sticky - After Sun, Skin & Face Moisturizer, Hair Mask"
B0BRL6ZHV8,,,Scrub Shower Cleaner | SKUs: IM-21333,,6.98,2,0.0,False,8000,598,Grout Cleaner,"Lumkew Grout Cleaner Brush V Shape, Stiff Grout Cleaning Brushes for Tile Floor, Handheld Grout Scrub Brush Set for Shower, Bathroom, Kitchen, Household Use,2 pcs"
B0BZZDPPRX,,785034357114,All Purpose Cleaner | SKUs: PWR-12423,,9.99,5,0.0,False,20000,15,Shower Squeegees,"All-Purpose Stainless Steel Shower Squeegee for Shower Glass Door with 2 Adhesive Hooks, Bathroom Cleaner Tool Household Window Mirror Squeegee , Cleaning Tile Wall, Car, 10 Inch Silver"
B0CZ5XSR5Y,,,Shower Caps | SKUs: AA-79863,,8.99,2,0.0,False,8000,133,Serving Dish Covers,MAQIHAN 100 Bowl Covers Bread Proofing - Extra Large Plastic Wrap for Food
B0CZYV6M7N,,,Scrub Free Scrub + Scrub Free Free + Scrub Free oz | SKUs: IM-21340 IM-67488; IM-21304; IM-54637,,16.49,6,0.0,False,20000,38,All-Purpose Cleaners,"30 SECONDS Pro Mold & Mildew Stain Remover, Scrub-Free Formula, 32 Oz"
B0D87RR5RQ,,860011176022,Xtra Fabric Softener | SKUs: XTRA-67424; XTRA-67425,,12.0,1,0.0,False,8000,4058,Dryer Sheets,"DedCool, Dryer Sheets in Xtra Milk, Fabric Softener, 40ct"
B0D9L3RLX4,,818900024695,Aerosol Cleaner Carpet | SKUs: PWR-91094; PWR-92595 Love-39593,,25.0,1,0.0,False,6000,7602,Carpet Spot Cleaning Sprays,"CAMPANELLI Pro Series Carpet & Upholstery Stain Remover Spray, 18Oz Aerosol"
B0F63RB6X4,,810148376307,Car Air Freshener + AIR FRESHENER Air | SKUs: AA-80181; IM-39555,,12.95,3,0.0,False,5000,1,Air Fresheners,Drift Car Air Freshener - The Original Wood Air Freshener - Car Odor Eliminator - Long Lasting Scent - Auto Accessories - Metal Clip - Essential Oils - Coconut & Pistachio Starter Kit
B0FHHFTSP1,,,Bath Shower Exfoliating + Shower Sponge | SKUs: AA-79858; AA-79859; AA-79861; AA-79862,,8.99,1,0.0,False,10000,209,Bath Sponges,"CORATED African Net Sponge Authentic, Shower Loofah Exfoliating Bath Sponge"
B0G52BL9CK,,810148376888,Air Wick Car | SKUs: AWCar-50190; AWCar-50188,,14.95,1,0.0,False,5000,1,Air Fresheners,Drift Car Air Freshener - The Original Wood Air Freshener - Car Odor Eliminator - Long Lasting Scent - Auto Accessories - Metal Clip - Essential Oils - John Wick Scent Starter Kit
