ASIN,UPC,Description,Cost,Sell Price,Seller Count,Amazon Present %,Amazon Is Buybox,Monthly Sold (Keepa),BSR,Category,Title
B00032BPCM,033200011309,Arm & Hammer pure Baking Soda 8 oz 24/cs,0.7488,4.95,157,56.6,False,5000,3366,Baking Soda,"Arm & Hammer Pure Baking Soda, 8 oz"
B000VE5EPQ,033200194705,ARM & HAMMER ULTRA MAX Deodorant- Powder Fresh- Solid 2.6oz 451/pt 12/cs,2.4996,14.89,101,82.1,False,200,54032,Antiperspirant Deodorant,"Arm and Hammer Ultramax Deodorant and Antiperspirant - Powder Fresh, 2.60 Ounce (Pack of 4)"
B001E723SA,033200197447,"Arm & Hammer Ultra Max Antiperspirant Deodorant, Active Sport, 2.6oz 12/cs",2.4996,14.37,147,86.0,False,100,37760,Antiperspirant Deodorant,ARM & HAMMER ULTRAMAX Anti-Perspirant Deodorant Active Sport 2.60 oz ( Pack of 6)
B001ET78K6,079400507204,Dove Invisible Solid 2.6oz Powder 12/cs,3.0,25.97,80,96.1,False,700,4101,Antiperspirant Deodorant,Dove Powder Invisible Solid Anti-Perspirant Deodorant 2.6 oz (Pack of 6)
B003T0F8V4,037000426899,Always Thin Pantiliners Regular Clean Fresh Scent 20 Each 24/cs,1.5,34.62,32,63.8,False,50,160795,Panty Liners,Always Thin Pantiliners - scented - 20 pack (Case of 24)
B00DZQ6YOC,309978695547,Revlon ColorSilk Permanent Beautiful Color 54 Light Golden Brown 140/pt 12/cs,2.4996,13.2,10,96.7,False,0,7039,Hair Color,Revlon ColorSilk Hair Color 54 Light Golden Brown 1 Each (Pack of 2)
B00GFGBAVQ,037000385929,"Crest Complete Whitening Plus Scope Minty Fresh Toothpaste, 0.85 Ounce 36/cs",0.7488,13.49,77,76.5,False,300,45204,Toothpaste,"Crest Complete Whitening Plus Scope Minty Fresh Toothpaste, Travel Size, TSA Approved, 0.85 Ounce (Pack of 12)"
B00L3TEQXY,022200940207,Speed Stick Deodorant Regular Light 1.8 oz 12/cs,1.65,8.62,107,69.4,False,900,23703,Deodorant,Speed Stick Deodorant Regular 1.8 oz (Pack of 3)
B00LO2XXGG,033200186601,"Arm & Hammer Advanced White Toothpaste, Clean Mint 4.3oz 270/pt 12/cs",2.7504,18.3,70,65.1,False,300,58913,Toothpaste,"ARM & HAMMER Advance White Toothpaste, Clean Mint, Extreme Whitening 4.3 oz ( Pack of 6)"
B00OQJVVEK,019045053834,"Ban Roll-On Antiperspirant Deodorant, Powder Fresh 3.5-Ounce 12/cs",4.2504,28.6,71,0.0,False,50,87378,Deodorant,Ban Deodorant 3.5 Ounce Roll-On Powder Fresh (103ml) (6 Pack)
B00TSPOA4K,037000319726,"Febreze To Go Fabric Refresher With Gain Original Scent, 2.8-Ounce 12/cs",2.4504,8.99,109,0.0,False,300,20892,Fabric Deodorizer,"Febreze to Go Fabric Refresher with Gain Original Scent, 2.8-Ounce, (3)"
B01DD9UQJO,037000956631,Crest Scope Classic Mouthwash Original 50.7 oz 88/pt 4/cs,7.25,24.08,59,61.5,False,50,122222,Mouthwash,"Crest Scope Classic Mouthwash Original Formula, Green, 50.72 Fl Oz"
B01HVOQFU6,033200186816,Arm & Hammer Toothpaste Whitening & Enamel Strengthening Fluoride 4.3oz 270/pt 12/cs,2.4,14.08,116,93.3,False,200,65588,Toothpaste,"ARM & HAMMER Enamel Defense Toothpaste, Crisp Mint 4.3 oz (Pack of 4)"
B01IADXNHU,037000827634,Ivory Bar Soap Aloe Scent 10pk 4 Ounces Each 76/pt 8/cs,6.5,21.99,115,0.0,False,100,22228,Soaps,"Ivory Bar Soap, Bath Size, Aloe, 10 Count (Pack of 2)"
B01IAI8JA6,037000426899,Always Thin Pantiliners Regular Clean Fresh Scent 20 Each 24/cs,1.5,11.38,22,0.0,False,200,60929,Sanitary Napkins,Always Thin Pantiliners Regular Clean Fresh Scent 20 Each (Pack of 6)
B01LZ5LQWC,017000092706,Dial Hand Soap 7.5oz Liquid Himalayan Pink Sal 144/pt 12/cs,1.5,17.85,95,0.0,False,100,96501,Hand Wash,Dial Himalayan Pink Salt & Water Lily Hand Soap with Moisturizer 7.5 Oz (Pack of 6)
B01M4KTI1R,033200197928,ARM & Hammer Essentials Solid Deodorant Unscented 2.5 oz 12/cs,2.4996,4.49,88,0.0,False,900,4967,Deodorant,Arm & Hammer Deodorant 2.5 Ounce Essentials Unscented (73ml) (3 Pack)
