Item,SKU,UPC,Unit Cost,Case Size
How do i block you? silicone wine cup 12.5oz,HSWE031908,672649277800,0.50,120
Bridesmaid silicone wine cup 12.5oz,HSWE031907,672649249067,0.50,120
Sail away silicone wine cup 12.5oz,HSWE031904,672649154965,0.50,120
Unicorn silicone wine cup 12.5oz,HSWE031903,672649154934,0.50,120
Mississippi silicone wine cup 12.5oz,HSWE031895,672649249470,0.50,120
Abc silicone wine cup 12.5oz,HSWE031893,672649296399,0.50,120
Queer af silicone wine cup 12.5oz – whole...,HSWE031892,672649295644,0.50,120
Beachin' silicone wine cup 12.5oz,HSWE031891,672649291516,0.50,120
Sleep around silicone wine cup 12.5oz,HSWE031889,672649163295,0.50,120
Sea la vie mug 13.5oz,HSWE031884,672649290441,1.00,24
Massachusetts silicone wine cup 12.5oz,HSWE031878,672649249449,0.50,120
High class trailer trash silicone wine cu...,HSWE031875,672649161390,0.50,120
Dreamer silicone wine cup 12.5oz,HSWE031873,672649151834,0.50,120
New jersey silicone wine cup 12.5oz bulk ...,HSWE031870,672649249487,0.50,120
Illinois silicone wine cup 12.5oz - whole...,HSWE031868,362649249371,0.50,120
What up? silicone wine cup 12.5oz,HSWE031867,672649291479,0.50,120
Favorite co-worker silicone wine cup 12.5oz,HSWE031865,672649156174,0.50,120
Washington silicone wine cup 12.5oz - bul...,HSWE031858,672649249579,0.50,120
Pirates mug 13.5oz,HSWE031855,672649290410,1.00,24
"Best grandma ever sign 4""x4""",HSWE031852,672649158635,0.30,40
Peace silicone wine cup 12.5oz,HSWE031847,672649151841,0.50,120
Gayborhood mug 18oz,HSWE031846,672649155566,1.50,24
Nevada campfire mug 13.5oz,HSWE031831,672649221490,1.00,24
"You are enough sign 4""x4""",HSWE031821,672649298478,0.30,108
"Lower the latitude sign 4""x4""",HSWE031820,672649298331,0.30,108
"Don't worry beach happy sign 4""x4""",HSWE031819,672649298324,0.30,108
"Let it be about love sign 4""x4""",HSWE031814,672649291967,0.30,108
"Keep smiling sign 4""x4""",HSWE031812,672649291929,0.30,108
Best gay ever mug 18oz,HSWE031794,672649155559,1.50,24
Let it be badge reel,HSWE031774,703800027962,0.25,432
Tan & tipsy silicone wine cup 12.5oz,HSWE031755,672649306975,0.50,120
Feelin' groovy silicone wine cup 12.5oz,HSWE031745,672649151803,0.50,120
Retail therapy card case,HSWE031741,672649296542,0.50,200
Livin' the scrub life card case,HSWE031740,672649296528,0.50,200
I got problems card case,HSWE031739,672649296498,0.50,200
Girls just want to have fund$ card case,HSWE031738,672649296474,0.50,200
Add to cart card case,HSWE031737,672649296467,0.50,200
Class of 2020 face mask,HEAL032363,672649296078,0.25,400
Only talking face mask,HEAL032040,672649859754,0.25,400
Sp bulbhead star shower ultra 9 indoor fl...,ELEC028640,16682,0.25,1
Corrugated 24-piece block sign display fi...,DISP032321,672649163622,0.50,40
Mrs. compact mirror,BEAU032340,672649225283,0.50,120
I put the bi in bitch small cosmetic bag,BEAU032021,672649155092,0.75,102
Core values smilesonic pro platinum clean...,BEAU024047,071031106283,0.15,36
Halloween cookie cutter grippy bat 1 ct ni,BAKE030659,070896163561,0.05,36
South carolina car air freshener 2pc,AUTO032346,703800022806,0.50,192
Proud parent small car air freshener 2pc,AUTO032344,672649297051,0.30,192
Another day in paradise car air freshener,AUTO032104,672649351173,0.50,192
Happy camper car coaster,AUTO031784,672649163257,0.30,216
Proud parent car coaster,AUTO031782,672649162342,0.30,216
Rv having fun yet? car coaster,AUTO031780,672649161710,0.30,216
Lakin' it easy car coaster,AUTO031776,672649161611,0.30,216
