Item,SKU,UPC,Unit Cost,Case Size
12 PAIR SHOE SHELF,SR49180,0886466007544,0.8333,12
20 PAIR SHOE SHELF NON-WOVEN NON-WOVEN COLOR GIFT BOX,SR49992,0886466491800,1.25,12
12 PAIR 3 TIER WOODEN SHOE RACK SHRINK WRAP W/INSERT,SR44619,0886466490698,10.0,1
SR49036,SR49036,0886466446190,15.0,1
SR49037,SR49037,0886466490360,2.5,6
SR37857,SR37857,0886466340788,15.0,1
SR37858,SR37858,0886466378576,3.3333,6
SR49130,SR49130,0886466007537,3.3333,6
WS47728,WS47728,0886466477279,6.0,1
WS47729,WS47729,0886466477293,0.6667,12
HB DOUBLE GARMENT,GR10899,0857198100667,5.0,6
GR49294,GR49294,0886466108999,3.3333,6
GR10962,GR10962,0886466492944,3.3333,6
FREE STANDING CLOSET W/SHELVES,SC39220,0886466392206,2.5,6
4-TIER WIRE SHELVING GIFT BOX,WS00691,0886466006905,40.0,1
5-TIER WIRE SHELVING GIFT BOX,WS00692,0886466006912,12.5,4
4-TIER WIRE SHELVING COLOR GIFT BOX,WS00694,0886466006936,10.0,4
5-TIER WIRE SHELVING GIFT BOX,WS00695,0886466006943,12.5,4
SOAP DISPENSER FOAMING Pkg: PET WRAP BAND,SD35160,0886466411471,0.5,12
SOAP DISPENSER FOAMING BULK,SD37689,0886466376893,0.5,12
SD41402,SD41402,0886466411495,0.2083,12
SD41561,SD41561,0886466414021,3.0,1
SD41176,SD41176,0886466411761,0.3333,12
3 TIER CAN DISPENSER WRAP LABEL,CD44541,0886466306265,10.0,1
WALL OR CABINET MOUNT LID RACK Pkg: WRAP LABEL,SS44784,0886466303677,1.6667,6
SB01421,SB01421,0886466014207,5.0,1
SR30371,SR30371,0886466014214,0.6667,6
SS44426,SS44426,0886466444257,6.0,1
SS44427,SS44427,0886466444264,6.5,1
PR30370,PR30370,0886466303639,4.0,1
UNDER THE SHELF MUG RACK 6 Cu ft:,CH41212,0886466303707,0.6667,6
SEASONING RACK,SR41951,0886466419521,4.0,1
WRAP ORGANIZER STANDING WRAP LABEL,SS41954,0886466419514,0.4167,12
SB41959,SB41959,0886466419613,5.0,1
SB44517,SB44517,0886466419590,0.8333,6
CORNER RACK Cu ft:,CS44512,0886466445223,10.0,1
PLATE RACK WRAP LABEL,PR44513,0886466445124,5.0,1
SEASONING RACK WRAP LABEL,SR44515,0886466445131,0.3333,12
HELPER SHELF HEAVY,SS52240,0886466522399,6.0,1
CS52238,CS52238,0886466522405,0.8333,6
PB37046,PB37046,0886466019769,0.4167,12
6x6 DRAW ORGANIZER w/RUBBER SLATE Cu ft:,PB49744,0886466497444,0.125,24
FS49052,FS49052,0886466456847,15.0,1
4 TIER STORAGE,SR37130,0886466417404,15.0,1
SS37354,SS37354,0886466371300,2.0,4
PB49749,PB49749,0886466497482,0.6667,12
CUTLERY TRAY w/ RUBBER w/RUBBER SLATE STICKER LABEL,CT44778,0886466497499,6.0,1
CT44779,CT44779,0886466447784,0.5,12
CT38123,CT38123,0886466518651,15.0,1
PB37041,PB37041,0886466381231,0.4167,12
WB49526,WB49526,0886466495259,8.0,1
SC41287,SC41287,0886466412874,8.0,1
IC47659,IC47659,0886466449634,3.0,1
IC47651,IC47651,0886466476517,0.25,12
ICE TRAY 2.5” SPHERE TRAY Pkg: WRAP LABEL,IC37045,0886466370457,0.125,24
SHELF LINER STRIPES,CL01902,0886466019004,0.25,12
SHELF LINER CLEAR DIAMOND SHRINK WRAP W/ LABEL,CL49638,0886466019011,0.1667,12
SHELF LINER DOTS SHRINK WRAP W/ LABEL,CL01903,0886466019028,3.0,1
SHELF LINER CLEAR DIAMOND SHRINK WRAP W/ LABEL,CL49639,0886466019035,0.25,12
GL10751,GL10751,0857198107505,2.0,1
GRIP LINER,GL10752,0857198107512,0.8333,12
PRINTED SHELF LINER COLOR LABEL,CL36212,0886466362117,3.0,1
GEO SHELF LINER COLOR LABEL,CL36213,0886466362124,2.0,1
GEO SHELF LINER COLOR LABEL,CL36214,0886466362131,0.125,24
DOTS SHELF LINER COLOR LABEL,CL36216,0886466362155,3.0,1
WEAVE SHELF LINER COLOR LABEL,CL36217,0886466362162,2.0,1
WEAVE SHELF LINER COLOR LABEL,CL36218,0886466362179,0.3333,12
UNDER THE SINK MAT COLOR LABEL,CL36220,0886466362193,0.3333,12
