UPC,Description,Unit Cost,Qty
035000969071,AJAX 16.9z MLTI-PRPSE CLEANER ORNGE,1.2,1
7615400853724,CIF 1 LITER FLOOR & APC OCEAN FRESH,1.8,1
9556126639965,CIF 660GM CREAM CLEANSER ORIGINAL,1.8,1
8721201945526,DOMESTOS 50GM ATC FRUIT BLISS,1.35,1
827854009504,AJAX 21z PWDR CLEANSER W/BLEACH,1.2,1
9556126639972,CIF 660GM CREAM CLEANSER LEMON,1.8,1
8999999602123,CIF 660GM CREAM CLEANSER PINK,1.8,1
019800127381,DRANO 17z DUAL FORCE FOAMER CLG RMV,4.5,1
019800004460,DRANO 4PK DISPOSLA FOAMING STRP CTR,1.8,1
035000977588,FABULOSO 56z MLTI-PRPSE CLN LVNDER,2.75,1
054600002865,FANTASTIK 32z MPC FRESH SCENT TRGR,2.75,1
055500250073,LESTOIL 800ML HVY DTY CLEANER,3.0,1
055500002009,LIQUID PLUMR 900ML PRO CLOG DSTRYR,3.6,1
059200007234,DRANO 900ML MAX GEL CLOG REMOVER,4.4,1
035000988706,FABULOSO 56z MLTI-PRPSE CLN SPRING,2.75,1
019200893312,GLASS PLUS 32z TRGR GLASS CLNR,2.4,1
051700871032,LIME AWAY 22z TRGR,3.25,1
055500016983,LIQUID PLUMR 946ML KITHCEN LEMON,3.6,1
019200025225,LYSOL 24z TBC PWR CLNG GEL ATLNTIC,2.25,1
019200999120,LYSOL 35CT 3PK DISF WIPE LMN/LIN/MG,6.75,1
019200837040,LYSOL 4PK 80CT DISF WIPES LMN/LIME,16.0,1
019200817004,LYSOL 75CT WIPES DUAL ACTION CITRUS,4.5,1
030772231975,MR CLEAN 1CT MAGIC ERASER CLASSIC,0.85,1
019200996532,LYSOL 32z PET DSFNCTNG CLNR CITRUS,5.0,1
019200825146,LYSOL 48z 2X MLTI-SRFCE POUR LEMON,3.9,1
019200002219,LYSOL 650ML DSNFCT BTHRM PWR TRIGGR,2.4,1
019200893336,MOP & GLO 32z FLOOR CLNR MLTI SRFCE,5.0,1
030772068922,MR CLEAN 23z 2X A/B MLTI-SRFCE LEMN,3.0,1
030772107218,MR CLEAN 23z 2X MLTI-SRFCE FRESH,3.0,1
030772220221,MR CLEAN 23z MLTI-SRFCE CLNR WTRMLN,3.0,1
030772228838,MR CLEAN 2CT MAGIC ERSR XTRA DURABL,2.4,1
030772220214,MR CLEAN 23z MLTI-SRFCE CLNR OCEAN,3.0,1
030772125397,MR CLEAN 23z MLTI-SRFCE MEADOW RAIN,3.0,1
030772220207,MR CLEAN 41z MLTI-SRFCE CLNR OCEAN,4.5,1
030772220238,MR CLEAN 41Z MLTI-SRFCE HAWAII ALHA,4.5,1
055500402892,PINESOL 828ML LVNDR MLTI-SRFCE CLN,2.25,1
046500728075,PLEDGE 24CT WOOD WIPES,3.75,1
5000204689297,PLEDGE 250ml MLTI SRFCE JASMINE,2.4,1
030772220191,MR CLEAN 41z MLTI-SRFCE CLNR WTRMLN,4.5,1
070481011024,MURPHY OIL SOAP 32oz ORIGINAL,2.65,1
055500015917,PINESOL 828ML MNDRN MLTI-SRFCE CLNR,2.25,1
5000204689204,PLEDGE 250ml MLTI SRFCE CLASSIC,2.4,1
5000204690088,PLEDGE 250ml WOOD CLASSIC,2.4,1
5000204690057,PLEDGE 250ml WOOD LAVENDER,2.4,1
019200006019,RESOLVE 22z CARPET STAIN RMVR TRGR,4.25,1
019200003544,RESOLVE 22z PET FOAM CRPT CLNR CAN,7.0,1
019200780339,RESOLVE 22z TRGR CRPT STAIN PET,4.5,1
025700005773,SCRUBBING BBLS 20z FLRL BTHRM GRIME,3.75,1
019200006194,RESOLVE 22z CAN CRPT CLNR FRSH LNEN,4.75,1
019200798389,RESOLVE 22z MULTI FBRC RMVR LINEN,4.5,1
019200832625,RESOLVE 22Z PET HIGH TRFC CARPET FM,4.75,1
062338030227,RESOLVE PET STAIN RMVR TRGR+RFL SET,11.0,1
811435007775,SPIC & SPAN 32z MLTI PRPS CLNR CTRS,1.88,1
811435007782,SPIC & SPAN 32z MLTI PRPS CLNR LAV,1.88,1
