Item,SKU,UPC,Unit Cost,Case Size
Listerine//Original/8/1.5/lt,12547-70111,312547701532,8.1,8
Listerine//Mild & Minty/6/250/ml,574661-684390,3574661684291,1.6833,6
Colgate/Total Mouthwash/Spearmint/6/1/lt,35000-67126,035000671264,3.6717,6
Listerine//Cool Mint Mild Taste/8/8.45/oz,50007-81327,8850007813279,1.8413,8
Listerine/Imported/Original/24/250/ml,92725-91020,8992725910202,1.79,24
Crest Scope/Mouthwash/Classic Original Mint/4/500/ml,37000-98184,037000956617,3.945,4
Listerine//Spearmint/6/8.45/oz,574661-684376,3574661684284,1.6833,6
Scope/Mouth Wash/Outlast Strong Mint 2pk/3/33.8/oz,30772-24661,037000771128,7.5733,3
Listerine/Mouthwash/Fresh Burst/6/33.8/oz,801008-002961,8801008002964,5.2383,6
Hello/Mouthwash/Activated Charcoal/6/16/oz,19156-02020,819156020202,1.98,6
Listerine//Cool Mint/8/1.5/lt,12547-42739,312547427555,8.1,8
Listerine/Imported/Fresh Burst/24/250/ml,92725-91042,8992725910424,1.79,24
Listerine/Mouthwash/Healthy White/6/33.8/oz,850007-813818,4891080010869,5.2383,6
Scope/Mouthwash/Original Clean Mint/12/8.4/oz,30772-23684,030772236840,1.2625,12
Listerine//Cool Mint/24/250/ml,92725-91033,8992725910332,1.79,24
Listerine//Total Care/24/3.38/oz,850007-814327,8850007814320,0.8417,24
Listerine//Original/6/25.4/oz,885000-781183,9310059050040,3.9967,6
Listerine/Mouthwash/Cool Mint/6/33.8/oz,556006-280079,9556006280072,5.2383,6
Listerine/UltraClean/Cool Mint/8/1.5/lt,12547-42273,312547422666,8.1,8
Always/Pads/Ultra Thin Overnight Flexi Wings Size 4/12/16/ct,30772-12859,030772033524,4.9967,12
"U by Kotex/Pads Tray/Clean & Secure 4 Ultra Thin Heavy 32ct, 4 Regular 36ct, 3 Overnight 28ct /11/1/ct",36000-53797,036000536348536317536324,4.7336,11
Playtex/Sport Display/6 Regular & 6 Multi Regular 24ct Super 24ct Fragrance Free/12/48/ct,78300-14421,078300117339117322,5.775,12
Always/Pads/Infinity Flex Foam Extra Heavy Flow Wings/6/14/ct,37000-98828,037000899099,4.9967,6
Stayfree/Maxi Pads/Classic/4/22/ct,78300-13647,078300070283,3.525,4
Always/Pads/Infinity Flexfoam Size 5/6/11/ct,37000-82121,037000821212,4.9967,6
Always/Pads/Infinity Flex Foam Heavy Flow Wings/6/16/ct,37000-23386,037000117148,4.9967,6
"Always/Infinity/Regular W-Wings,Unscented/12/18/ct",37000-11713,037000117131,4.9967,12
Kleenex/Facial Tissues/Cube Anti-Viral 3-Ply/18/55/sh,36000-54621,036000545050,1.315,18
Incognito/Ultrathin with Flexi-Wings Long Super//8/20/ct,90891-95348,090891953486000,2.0825,8
Always/Pads/Maxi Long Super Size 2/6/42/ct,37000-28159,037000281597,5.9433,6
Always/Pads/Ultra Thin Regular Flexi Wings/6/22/ct,30772-03339,030772033395,4.9967,6
Always/Pads/Infinity Flex Foam Overnight Wings/6/13/ct,37000-00855,037000830955,4.9967,6
Poise/Liners Floorstand Display/Fresh Protection Very Light Regular/40/8/ct,36000-57042,036000538533,0.6312,40
Always/Pads/Ultra Thin Regular Flexi Wings Size 2/12/20/ct,30772-16776,030772033418,4.9967,12
Always/Pads/Maxi Extra Heavy Overnight Size 5/3/36/ct,30772-03637,037000937555,12.4833,3
Always/Pads/Ultra Thin Overnight W-Wings/6/26/ct,37000-25551,037000990895,7.565,6
Always/Pads/Maxi Overnight Unscented Wings Size 4/6/26/ct,37000-77160,037000890287,7.1783,6
Always/Maxi/Overnight Extra Heavy Flow/6/20/ct,37000-17902,037000179023,7.1783,6
Always/Pads/Maxi Night Size 4/16/8/ct,800653-014729,4015400260837,1.5675,16
"Kotex/Display/6 Tampons Regular Compact 16ct, 6 Pads Regular Ultra Thin 18ct, 6 Pads Heavy Ultra Thin 16ct, 6 Pads Heavy Ultra Thin 14ct, 6 Pads Night Ultra Thin 13ct/30/1/ct",36000-56543,534450548983548990517521549126,2.995,30
Incognito/Maxi Regular Unscented//4/36/ct,69207-91680,069207916804,4.1975,4
Incognito/Pantiliners/Everyday Long/12/40/ct,69207-99441,069207994413,2.0825,12
Always/Pads/Maxi Long Super/6/26/ct,30772-03369,030772033692,4.9967,6
Incognito/Pantiliners/Everyday Extra Long/12/34/ct,69207-99445,069207994451,2.0825,12
Stayfree/Maxi Pads/Regular/6/24/ct,78300-02961,078300070252,3.5233,6
Always/Pads/Ultra Thin Extra Long Super Flexi Wings/6/17/ct,30772-03345,030772033456,4.9967,6
Always/Pads/Maxi Overnight Unscented Flexi Wings/12/16/ct,30772-03498,030772033999,4.9967,12
Always/Pads/Overnight Extra Heavy Size 5/3/24/ct,37000-75598,037000889175,7.5633,3
Always/Pads/Ultra Thin Overnight Flexi Wings/6/15/ct,30772-03350,030772033500,4.9967,6
Incognito/Maxi Multichannel/Regular/12/24/ct,69207-99622,069207996226,2.0825,12
Always/Pads/Maxi Long Super WWings/8/18/ct,30772-16615,030772033685,5.0812,8
Incognito/Ultrathin with Flexi-Wings Overnight//8/16/ct,90891-95350,090891953509000,2.0825,8
Incognito/Maxi with Flexi-Wings Overnight//8/16/ct,90891-95347,090891953479000,2.0825,8
Incognito/Ultrathin with Flexi-Wings Regular//8/22/ct,90891-95349,090891953493000,2.0825,8
Always/Liners/Daily Fresh Thin Regular Unscented/6/162/ct,30772-16341,030772163412,4.99,6
Poise/Ultra Thin/Moderate Regular/3/48/ct,36000-57941,036000579413,5.7767,3
One by Poise/Pads/Ultra Thin Regular Regular WWings/4/22/ct,36000-53449,036000534498,2.62,4
Kotex/Pads/Security Overnight Ultra Thin Wings/6/28/ct,36000-53632,036000536324,4.7167,6
Kotex/Pads/Clean & Secure Ultra Thin Overnight Wings/4/40/ct,36000-55583,036000555837,4.9975,4
"Playtex/Tampons/Sport 16 Regular, 8 Super, 8 Super Plus/12/32/ct",78300-14108,078300141082,3.98,12
One by Poise/Pads/Ultra Thin Heavy Regular WWings/4/18/ct,36000-53450,036000534504,2.62,4
Liv by Kotex/Pads/Daily Use Ultra Thin Regular/4/28/ct,36000-55935,036000559354,2.62,4
Liv by Kotex/Pads/Daily Use Ultra Thin Heavy/4/24/ct,36000-55936,036000559361,2.62,4
Liv by Kotex/Pads/Daily Use Ultra Thin Overnight/4/20/ct,36000-55937,036000559378,2.62,4
Poise/Pads/Overnight Ultra Thin Extra Absorbent Long/2/20/ct,36000-56284,036000562842,4.98,2
Kotex/Pads/Teen Extra Absorbency Ultra Thin Wings/4/14/ct,36000-51752,036000517521,2.6275,4
Bic/Razor Comfort 3/Hybrid Hand + 6 Refills/72/1/ct,70330-72262,070330722620,3.3662,72
Schick/Intuition/Blossom 1 Handle 4 Refills/20/1/ct,91228-32073,4891228319670,2.6195,20
Schick/Disposable Razor/Xtreme3 Sensitive Womens/60/4/ct,30344-00420,9330344004206,3.1558,60
Gillette/ProGlide/Razor Handle + 4 Blade Refills/24/1/ct,47400-67196,047400671966,8.4054,24
Bic/Disposable Razors/Metal/30/5/ct,86128-99418,3086125705416,1.315,30
Gillette Venus/Gift Set/Smooth Senstiive Razor + Refill + Shaving Gel/18/3/ct,987176-378528,4987176378521,3.6817,18
Schick/Disposable Razor/Exacta2 Sensitive Womens/12/10/ct,91228-30411,4891228304119,2.3142,12
Schick/Refill/Hydro Skin Comfort/72/4/ct,41058-00031,841058000310,1.5779,72
Bic/Disposable Razor/Soleil/10/4/ct,086128-897255,3086123242852,3.366,10
Conair/Beard & Mustache Trimmer Kit/Red GMT8NGB/4/1/ct,74108-22402,074108224026,6.69,4
Gillette/Disposable Razor/Sensor3/12/7/ct,47400-67214,047400672147,5.2492,12
"Edge & Skintimate/Shave Gel Display/Edge 6 Sensitive, 6 Extra Moisturizing, Skintimate 6 Raspb Rain, 6 Dry Skin/24/7/oz",41058-05311,841058005209005261005490005629,1.6,24
Schick/Intuition/Women's Razor Handle + 2 Refills Lemon Berry/24/1/ct,91228-31244,4891228312442,4.3,24
Schick/Intuition/Women's Razor Handle + 2 Refills Pure Nourishment/24/1/ct,12931-72029,9312931720294,4.3,24
Conair/Nose & Ear Trimmer Kit/Black PG1000/4/1/ct,74108-36806,074108368065,6.69,4
Schick/Intuition/Women's Razor Handle + 2 Refills Sensitive/24/1/ct,37266-70076,6937266700761,4.3,24
Conair/Home Hair Cutting Kit/Wood & Gold HC6000W/3/1/ct,74108-48675,074108486752,12.98,3
Skintimate/Shave Gel/Vanilla Sugar/12/7/oz,41058-00804,841058019909,1.5783,12
Vaseline/Lotion/Intensive Care Aloe Soothe/48/13.5/oz,01087-35705,6001087357050,2.3144,48
Jergens/Lotion/Soothing Aloe W-Pump/12/20.3/oz,19100-15394,019100153943,3.945,12
Vaseline/Body Cream Intensive Care/Dry Skin Repair/36/13.5/oz,600108-737008,6001087370073,3.1558,36
Jergens/Lotion/Nourishing Honey/24/6.76/oz,19100-28968,019100289680,1.8829,24
Vaseline/Body Lotion/Intensive Care Advanced Repair Fragrance Free/48/13.5/oz,01087-35708,6001087357081,2.3144,48
Vaseline/Petroleum Jelly/Blue Seal Baby/24/15.22/oz,001087-365783,6001087365789,4.1867,24
St.Ives/Body Lotion/Coconut & Orchid WPump/4/21/oz,77043-00033,077043608067,3.4725,4
Jergens/Lotion/Ultra Healing W-Pump/12/20.3/oz,19100-15391,019100153912,3.945,12
Vaseline/Petroleum Jelly/Original 50ml/288/1.69/oz,600108-511681,6001085120939,0.61,288
Jergens/Lotion/Age Defying/24/6.76/oz,19100-15395,019100153950,1.8829,24
