Item,SKU,UPC,Unit Cost,Case Size
Tresseme Freeze Hold Hair Spray 11oz 156/pt 6/cs,64045,022400640457,0.975,6
Tresseme Hair Spray Two hours Extra Hold 11oz 6/cs,00521,022400005218,0.9583,6
Tresseme Mousse Extra Hold 10.5oz 248/pt 6/cs,64316,022400643168,0.9583,6
Twizlers Cherry Bites 16oz 12/cs,56023,034000560233,0.1625,12
Twizzler Pull N Peal Cherry 14oz Bag 48/pt 24/cs,56043,034000560431,0.0604,24
Twizzlers (cherry bites) 5oz box 12/cs,54150,034000541508,0.075,12
Twizzlers Filled Twists Orange Cream Pop 11oz 80/pt 18/cs,56170-18,034000561704,0.0917,18
Twizzlers Rainbow Candy Straws 12.4oz Bag 80/pt 14/cs,50234,034000502349,0.0607,14
Vaseline Healthy Plus Bar Soap Healthy Bright with Vitamin B3 - Pack of 3 x 75g/2.64oz 66/pt 48/cs,06085,8886467060854,0.0417,48
"Vaseline Healthy Plus Bar Soap, Total Moisture, Soy Protein + Oat Extract Pack of 3 x 75g/2.64oz 66/pt 48/cs",06086,8886467060861,0.0417,48
Wet Ones Antibacterial Hand Wipes Tropical Splash 40ct 84/pt 12/cs,46728,076828046728,0.1875,12
Windex Glass & More Multi-Surface Cleaner 32 oz 52/pt 8/cs,70765,019800707651,0.45,8
Windex Nature's Source Natural Glass Surface Cleaner 765 ml 68/pt 8/cs,70707,059200707073,0.4375,8
Woolite Darks Defense Liquid Laundry Detergent 150 oz 30/pt 4/cs,02409,062338024097,4.375,4
Woolite Laundry Detergent - For All Darks Concentrated 50 oz 48/pt 6/cs,76974,062338769745,1.4583,6
Woolite Liquid Laundry Detergent Damage Defense 50 oz 48/pt 6/cs,77940,062338779409,1.4583,6
Ziploc Freezer Pint 20ct 12/cs,00399,025700003991,0.2917,12
Ziploc Freezer Quart Bags 38 bags 75/pt 9/cs,00381,025700003816,0.4444,9
Ziploc Sandwich Bags 40ct 12/cs,71139,025700711391,0.2042,12
Ziploc Storage Gallon 38ct 60/pt 9/cs,00320-9,025700003205,0.5389,9
