Item,SKU,UPC,Unit Cost,Case Size
Wet brush speed dry treasured waters merm...,BEAU042335,736658578980,3.00,24
3 pack baby towels blue – wholesale | 3pk,BABY042209,191153599555,1.65,24
Wilton 9 inch tart pan,BAKE036169,070896159564,2.00,3
2oz salt & pepper set,HSWE041804,076753043120,2.00,24
Gibson home cereal bowl - blue 6in ni,HSWE038993,085081526120,1.50,6
"Marvel 7"" cuutopia plush assortment",TOYS042290,194735306749,3.50,4
"Barbie 10"" cuutopia plush assortment",TOYS042289,194735229628,4.00,4
Purina zukes trailmix chicken dog treats ...,PETS042272,613423001266,1.50,8
Sp  off botanicals insect repellent plant...,PEST042420,046500048401,3.75,14
Mini basic can opener,HSWE042140,076753118033,0.55,72
Good cook touch can opener,HSWE042144,076753204316,5.25,21
Bialetti 12in saute pan,HSWE042120,076753074421,11.00,4
Silicone spatula,HSWE042138,076753248792,0.65,72
Swivel peeler,HSWE042136,076753058773,1.20,12
3pc wooden spoons,HSWE042134,076753279000,0.80,24
Citrus juicer,HSWE042132,076753043380,1.20,8
Masher,HSWE042128,076753058926,1.50,12
Meat thermometer,HSWE042131,076753720724,1.50,72
7pc nonstick cookware set,HSWE042110,076753201902,23.00,3
Deviled egg tray w/cover  in cdu asst colors,HSWE042105,076753083805,3.25,6
8in saute pan,HSWE042118,076753061407,5.35,6
12in saute pan,HSWE042119,076753061452,10.00,6
12in fry pan - blue,HSWE042117,076753061339,9.00,6
Casabella feather duster,CLEA042130,028484673022,5.00,6
Mr clean toilet brush and plunger,CLEA042103,011171043772,5.25,4
3pk cookie sheet in floorstand,BAKE041343,076753041959,7.50,18
Scrunci comfy jaw clip ni,BEAU042060,043194203420,0.75,48
Scrunci  butterfly claw clip ni,BEAU042059,043194604135,0.60,48
Glade pumpkin & ginger scented candle 2 x...,CAND038533,197981001376,2.75,3
Sp stem zone mosquito repellent starter k...,PEST041493,197981000171,11.50,6
Maltesers chocolate malted milk balls 1.4...,FOOD040210,040000527732,0.35,162
Conair allbrush vented paddle hairbrush pink,BEAU042426,074108862907,2.25,24
"Spongebob 20"" inflatable sponge head toy ...",TOYS041433,848533010796,1.80,4
"Marvel 12"" figure black panther wakanda f...",TOYS041432,5010994104412,2.00,4
Purina zuke's adventure sticks beef & bis...,PETS042396,613423001426,1.50,8
Purina zuke's adventure sticks chicken & ...,PETS042395,613423001440,1.50,8
Pet fusion 2-in-1 cat litter scoop holder...,PETS042312,856491008496,3.00,8
6 multipurpose cube storage system grey,HSWE042265,886466477293,5.00,12
4 multipurpose cube storage system grey,HSWE042264,886466477286,4.00,12
60 sheet lint roller,HSWE042257,886466380333,1.20,24
Dish brush w/rubber grip,HSWE042261,886466398512,1.20,24
Vegetable peeler stainless steel bulk pack,HSWE042260,857198104214,1.20,24
"Washable lint roller – reusable, bulk pac...",HSWE042258,886466451439,1.65,24
"Ss marquee toilet brush, stainless steel",CLEA042263,886466381835,6.25,6
Squeegee with rubber grip – trade cleanin...,CLEA042262,886466398505,1.20,24
Disney pixar lightyear seeker squad board...,TOYS040373,194735054213,1.25,6
Disney pixar lightyear blast off blitz ga...,TOYS040372,194735056392,1.25,5
Tablecloth -  60 x 84 cozy picnic plaid,HSWE039996,738215519986,2.15,20
Huadada 1000pc. puzzle assorted,TOYS040368,567345000343,1.25,24
Assorted 500 piece puzzle - bulk pack,TOYS040370,778988679111,1.25,12
A2play solar system jigsaw puzzle - whole...,TOYS040367,5060746610098,1.80,12
8.5in silicone basting brush – bulk kitch...,HSWE042153,076753220040,0.75,72
Nylon turner kitchen utensil – bulk pack,HSWE042148,076753256810,1.20,144
Fine grater stainless steel handheld – bu...,HSWE042150,076753058797,1.80,6
Good cook can opener - manual kitchen tool,HSWE042145,076753058780,4.00,12
"10"" wooden rolling pin - 10 inch | wholes...",HSWE042141,076753038744,2.50,6
6in mesh strainer stainless steel - bulk ...,HSWE042143,076753038836,2.35,48
Nutri-grain blueberry bar 8ct 10.4 oz bb ...,FOOD042246,038000357008,1.80,12
Pop-tarts frosted cinnamon roll 8ct 13.5 ...,FOOD042238,038000292484,1.75,12
Cheez-it snap'd cheddar sour cream & onio...,FOOD042233,024100116645,2.60,5
Rice krispies treats caramel pretzel bars...,FOOD042229,038000307423,5.35,8
Rice krispies treats original bars with s...,FOOD042230,038000335563,1.75,12
Suave silk protein infusion conditioner 1...,BEAU042287,079400488909,1.35,6
Suave silk protein infusion shampoo 12.6oz,BEAU042286,079400488787,1.35,6
Suave deodorant rose petal & jasmine 2.6o...,BEAU042285,079400511997,1.50,12
Chapstick candy flavor 3-pack .45oz,BEAU042284,305736555016,1.75,72
Chapstick tropical paradise lip balm 3ct ...,BEAU042280,305732014982,1.50,72
Chapstick crisp apple carded .15oz exp 2/...,BEAU040130,305730137133,0.55,144
Chapstick ice cream lip balm 3ct .45oz (b...,BEAU042279,305736552596,1.50,72
Chapstick lip moisture spf 15 3-pack .45oz,BEAU042278,305731342505,1.50,72
Drano max gel clog remover 42floz us,CLEA041907,019800221188,3.50,8
Equate 2ct hot or cold therapy,HEAL041992,681131285735,4.00,6
Smart living ballpoint pens blue 10ct,STAT042205,041520893659,0.65,48
15in pizza stone w/ serving rack,HSWE042115,076753043014,8.00,2
Ice cream scoop in cdu,HSWE042108,076753166508,0.55,24
Serveware w/ lid in floorstand,HSWE042107,076753082006,4.25,12
Rite aid paper tape w/dispenser 10 yards,HEAL041988,011822542999,1.25,24
Cheez-it snap'd double cheese cracker 2.2...,FOOD042291,024100114238,0.85,6
Sp turtle wax headlight lens restorer kit,AUTO039519,074660202401,4.00,6
French's taco seasoning mix mild .75 oz b...,FOOD041439,041500013589,0.25,12
Cra-z-art shimmer n sparkle unzipz surprise,TOYS040451,884920250581,1.80,6
Cra-z-art barney softee dough friendship ...,TOYS040449,884920662766,3.50,3
Cra-z-art nightmare before christmas craz...,TOYS040448,884920290150,1.80,8
Spice trend poultry seasonings .45 oz bb ...,FOOD042175,05211917,0.25,72
Spice trend parsley flakes  .09 oz bb 1/2...,FOOD042174,05211713,0.25,72
Reynera lobby broom w/dustpan,CLEA041862,082269022313,5.25,4
Reynera double angled broom,CLEA041859,082269020593,5.00,6
Long handle dustpan,CLEA041858,082269022290,3.50,6
Reynera microfiber flip mop,CLEA041857,082269070147,6.25,6
"Ecotools pouf red, white & blue ni",BEAU042224,079625452655,0.60,24
Reynera magnetic broom,CLEA038215,082269020227,4.00,12
Ecotools pouf pink ni,BEAU042223,079625439151,0.60,24
Franks red hot garlic buffalo wing sauce ...,FOOD042179,041500011400,1.20,5
Ecotools pouf yellow ni,BEAU042225,079625454284,0.60,24
Ecotools pouf navy blue ni,BEAU042226,079625452341,0.60,24
Off/stem mixed pdq,PEST042308,046500018350,2.50,38
Mccormick flavor maker salmon topping sea...,FOOD042180,05285116,0.25,72
Pledge everyday clean multisurface lavend...,CLEA042188,046500036248,3.00,6
Lifesavers 12ct candy canes 5.3oz bb 02/1...,FOOD042196,030800805000,1.20,24
Refresh your car 6 pk  refined nights,AUTO042298,012844618464,0.75,24
California scents air freshners recycled ...,AUTO042296,091400042998,1.00,24
Refresh your car ring air freshner very c...,AUTO042294,012844619102,0.75,24
Refresh your car ring air freshner new car,AUTO042293,012844619263,0.75,24
Refresh your car ring air freshner lightn...,AUTO042292,012844619119,0.75,24
Refresh your car ring air freshner hawaii...,AUTO042295,12844619270,0.75,24
Ziploc holiday slider storage quart 16ct,HSWE040614,025700715184,1.65,12
Sp scunci 1-ct blue head band ni,BEAU022275,043194351831,0.50,36
Sp scunci asst color 12-ct ponytailers ni,BEAU022252,043194351251,0.40,36
6pc lemon sponges - ni,CLEA041000,067742387189,1.10,24
12pc dinnerware set - asst colors stonewa...,HSWE041834,085081291295,16.00,2
"52x90"" - printed vinyl tablecloth",HSWE040494,850023387158,2.00,24
8in oster ns red frying pan - alum ni,HSWE041687,085081488091,7.00,12
Halls cherry cough drops 14ct wholesale pack,FOOD041945,312546002906,0.25,40
6pk aluminum oblong pans,HSWE042089,603430746960,1.65,12
Starburst candy canes 12ct 5.3oz - bulk pack,FOOD042197,030800807004,1.20,12
"Pumpkin wreath 18"" pillow cover",SOFT034718,20210504101723,1.50,93
"Gobble gobble 18"" pillow cover",SOFT034722,20210504105742,1.50,70
10pk girls trolls keep it happy ns socks ...,SOFT040027,193159167417,3.50,12
Pure organic twisted fruit bites 24ct clu...,FOOD042240,190912101305,12.35,360
Crockpot 2pc mixing bowl set - linen ston...,HSWE042039,085081684028,15.00,2
Gibson stainless steel steak knives 4pc s...,HSWE042038,085081303769,6.00,6
Hefty 20ct plates - 8.6'' strawvberry pri...,HSWE041796,13700971136,2.00,9
Pop-tart protein frosted blueberry 8ct 14...,FOOD042248,038000331466,2.35,12
Nutri-grain breakfast bars assorted 48ct ...,FOOD042244,038000350016,10.20,3
Rice krispies treats homestyle bars 6ct 6...,FOOD042243,38000253775,1.90,48
Our table 9.5in pie plate - ceramic white ni,HSWE041394,444800407018,2.50,4
Crockpot 5.6qt bakeware - red stoneware ni,BAKE042040,085081475800,19.00,2
"Promoted to grandpa sign 4""x4""",HSWE032383,672649158673,0.30,40
"52x90"" printed vinyl tablecloth'",HSWE040488,850023387110,2.00,24
"'60x84"" printed vinyl tablecloth",HSWE040505,850023387134,1.65,24
13x9 cake pan with cover,BAKE041342,076753534819,4.25,12
"52x70"" printed vinyl tablecloth.",HSWE040496,850023387103,1.65,24
"52x70"" printed vinyl tablecloth",HSWE040495,850023387141,1.65,24
2pk aluminum poultry pan,HSWE042090,032251561399,1.35,12
Mccormick prepak ground cloves 0.9 oz bb ...,FOOD041456,05223310,0.25,48
Gibson home highberry 11in non-stick chic...,HSWE040237,085081509703,8.50,4
"3pc cast iron skillet set - 6in, 8in & 10...",HSWE041685,085081531643,19.00,4
