Item,SKU,UPC,Unit Cost,Case Size
Sp stem zone mosquito repellent starter k...,,197981000171,11.5,1
Purina puppy chow tender beef dog food 4l...,,017800100489,1.8,1
Greenlife cutting board set - 8x12'' & 10...,,885837015980,4.0,1
Black wolf daily conditioner - 12 oz. ni,,850021340544,1.8,1
Tangle jr fuzzies (triangle box in 25 uni...,,723459029001,1.1,1
Goliath monster mash matching game ni,,8720077283237,3.5,1
Sp (astv) id guard police stamp roller $1...,,097298080388,3.6,1
Puzzle collector gaurdians of the lake 10...,,4895145436151,2.5,1
Copco eco travel coffee mug -- brown ni,,043909099614,2.4,1
Goody headband zigzag 3ct ni,,041457185001,1.0,1
Purina friskies lil soups salmon tuna var...,,050000172962,5.0,1
Spinbrush kids power toothbrush monster jam,,766878999807,1.8,1
Mccormick red & green pepper blend 2.82 o...,,052100058061,0.75,1
"Marvel: titan hero tech - 12"" iron man ma...",,630509281169,5.0,1
"Marvel 6"" figures - marvel avengers endga...",,630509811908,2.0,1
"Tmnt michelangelo junior mocch plush 6""",,053941128678,3.5,1
Glade pumpkin & ginger scented candle 2 x...,,197981001376,2.75,1
Masters of the universe: mega construx - ...,,887961886986,2.0,1
Funko ted lasso party game ni,,889698634137,1.0,1
"Wild eats water buffalo tuffie 8"" 2pk bes...",,611403706859,2.0,1
Crayola color wonder coloring pad & marke...,,071662028510,1.8,1
Got2b color metallics m64 purple night,,017000339443,1.0,1
Disney pixar lightyear hyperspeed series ...,,194735069309,1.0,1
Mccormick gourmet dill seed organic 1 oz ...,,052100035376,0.5,1
Barbie mini barbieland color reveal doll,,194735250981,0.5,1
"Ban Roll-On Antiperspirant Deodorant, Powder Fresh 3.5-Ounce 12/cs",,019045053834,0.3542,1
Tide Liquid Laundry Detergent 63oz Clean Breeze Brise Pure 60/pt 4/cs,,030772121160,3.0,1
Crest Scope Classic Mouthwash Original 50.7 oz 88/pt 4/cs,,037000956631,1.8125,1
Arm & Hammer Plus OxiClean Stain Fighters Fresh Scent 100.5 oz 50/pt4/cs,,033200002604,2.375,1
