Item,SKU,UPC,Unit Cost,Case Size
HB IRONING BOARD COVER,IB36130,0886466361295,8.0,1
HB IRONING BOARD COVER,IB36131,0886466361301,8.0,1
HB IRONING BOARD COVER HANGABLE PVC BAG W/ CARD,IB36132,0886466361325,0.6667,12
SCORCH RESISTANT IRONING,IB38093,0886466361332,8.0,1
IB38094,IB38094,0886466380937,8.0,1
IB38092,IB38092,0886466380944,0.6667,12
IB01914,IB01914,0886466444660,10.0,1
FS41787,FS41787,0886466417862,0.2083,24
LR45144,LR45144,0886466451446,0.0833,24
HB 300 SHEET SET Pkg:,LR45630,0886466380319,0.125,24
LR45143,LR45143,0886466451439,0.0833,24
LR38032,LR38032,0886466451415,0.1667,24
HB LINT ROLLER WIDE,LR38033,0886466380333,0.0833,24
DB45040,DB45040,0886466380272,4.0,1
HB 3PC DRYER BALLS OVAL,DB41719,0886466450401,0.125,24
HB 4PK DRYER BALLS PACK,DB47269,0886466472687,0.1667,24
IB49030,IB49030,0886466490308,0.0833,24
HB HANGING CLOTHES DRYER SHRINK W/INSERT,CD45023,0886466459657,0.0833,24
CD10346,CD10346,0857198108328,4.1667,6
CD10114,CD10114,0857198103460,5.0,4
CD45027,CD45027,0857198101145,5.0,4
CD45029,CD45029,0886466450609,6.25,4
PB36314,PB36314,0886466381699,1.0,6
PB36317,PB36317,0886466363152,0.5833,12
PB38174,PB38174,0886466523150,0.25,12
PB36313,PB36313,0886466381743,8.0,1
PB38175,PB38175,0886466363138,0.2083,12
BRITE MOP BUCKET HANG TAG,PB38178,0886466381774,3.0,1
BRITE CLEANING STICKER LABEL,PB38199,0886466381781,4.0,1
PB38176,PB38176,0886466381767,0.1667,12
PB36316,PB36316,0886466523136,0.5,6
PB39849,PB39849,0886466398482,0.0833,24
PB39850,PB39850,0886466398499,0.0625,24
PB39851,PB39851,0886466398505,0.0625,24
PB41205,PB41205,0886466363183,8.0,1
PB41826,PB41826,0886466412058,0.5,12
WS52256,WS52256,0886466418265,0.25,12
MOP & BROOM ORGANIZER COLOR GIFT BOX,MB01905,0886466413505,0.5,12
MOP & BROOM ORGANIZER GIFT BOX,MB41549,0886466019059,0.2083,24
EB36090,EB36090,0886466360892,0.5,12
ECHO BAMBOO MICROFIBER MOP,EB36091,0886466360908,0.6667,12
EB36093,EB36093,0886466360922,0.25,12
EB36094,EB36094,0886466360939,0.125,24
EB36096,EB36096,0886466360953,0.1042,24
ECHO BMABOO DISH BRUSH LONG,EB36097,0886466360960,0.0833,24
ECHO BAMBOO SQUEEGEE,EB36099,0886466360991,0.0417,48
4PC SPRAY BOTTLE W/ CLOTH LABEL,PB37997,0886466361417,3.0,1
GLASS SPRAY BOTTLE AMBER SET,SD35454,0886466379979,0.0833,24
23.6OZ PLASTIC SPRAY BOTTLE,VF39845,0886466417657,0.1667,12
GLASS SPRAY BOTTLE 14OZ,GB36069,0886466398451,0.25,12
PLASTIC WASTE BIN,WB39831,0886466458346,0.2083,12
WB00082,WB00082,0857198000813,25.0,1
WB00083,WB00083,0857198000837,15.0,2
12LT S/S WASTE BASKET,WB49082,0886466490827,5.0,4
SC00519,SC00519,0886466411365,1.25,12
2-TIER HEAVYWEIGHT,SC35613,0886466356130,1.6667,6
SC30277,SC30277,0886466356529,10.0,1
WIDE SHOWER CADDY BLACK HEADER CARD,SC35648,0886466302779,1.0,12
SC35614,SC35614,0886466356505,1.6667,6
2 TIER SHOWER CADDY HEADER CARD,SC35263,0886466352620,1.3333,6
TP HOLDER W/RESERVE UNITY HOLDER,TP47877,0886466411099,0.8333,12
TISSUE HOLDER HEADER CARD,TH41049,0886466411822,10.0,1
TB38180,TB38180,0886466381798,1.3333,6
TOILET BRUSH SHRINK WRAP W/ COLOR LABEL,TB00079,0886466018069,4.0,1
TOILET BRUSH HOLDER SHRINK WRAP W/ COLOR LABEL,TB41271,0857198000790,6.0,1
TB41950,TB41950,0886466419507,0.6667,12
BRONZE TOILET PLUNGER TTBB0411183096 TSOS ITLOETIL BERT UPSLHU NHGOELRDER,TP41071,0886466411396,2.5,6
3 SHELF SPACE SAVER 6 Cu ft:,SS10059,0857198100582,20.0,1
2 SHELF SPACE SAVER COLOR GIFT BOX,SS01531,0857198100599,20.0,1
SPACE SAVER WOOD GREY COLOR GIFT BOX,SS41868,0886466418685,60.0,1
SS34283,SS34283,0886466342805,50.0,1
SC35707,SC35707,0886466342836,20.0,1
SC35708,SC35708,0886466357076,3.3333,6
BATHROOM SHELF GIFT BOX,BS10105,0886466355300,20.0,1
BA35523,BA35523,0857198101053,8.0,1
BA35527,BA35527,0886466355232,0.6667,12
GLASS BATHROOM,BS41453,0857198102821,10.0,1
BS01261,BS01261,0886466414533,10.0,1
BS41133,BS41133,0886466012616,1.25,8
BM35657,BM35657,0886466356567,5.0,1
BM35658,BM35658,0886466356574,5.0,1
BM35659,BM35659,0886466356581,0.4167,12
BM39855,BM39855,0886466356604,0.8333,6
BM34532,BM34532,0886466345318,5.0,1
BM34533,BM34533,0886466345325,0.4167,12
BM34056,BM34056,0886466345332,0.3333,12
BM01756,BM01756,0886466340573,4.0,1
BATH MAT SHELLS,BM01757,0886466017567,4.0,1
BATH MAT OVAL WHITE Pkg: HANGABLE ROLLED HANGABLE ROLLED WRAP,BM41571,0886466017574,0.3333,12
BM41321,BM41321,0886466413215,0.3333,12
SC35738,SC35738,0886466361370,5.0,1
12PC SHOWER CURTAIN HOOKS CHROME HOOKS BLACK Pkg: HANGABLE PVC BOX,SC35739,0886466357380,0.4167,12
SC35726,SC35726,0886466357250,0.125,24
SC35727,SC35727,0886466357267,3.0,1
SC35728,SC35728,0886466357281,0.125,24
SC35730,SC35730,0886466357298,0.1667,24
SC35732,SC35732,0886466357328,0.1667,24
SC35734,SC35734,0886466357335,0.4167,12
SC35735,SC35735,0886466357342,5.0,1
SC35736,SC35736,0886466357366,0.4167,12
4PC CERAMIC BATH COLOR GIFT BOX,BA35422,0886466419392,10.0,1
BA35423,BA35423,0886466354228,0.8333,12
BA35755,BA35755,0886466357540,10.0,1
BA35067,BA35067,0886466350671,1.6667,6
BA35753,BA35753,0886466357526,10.0,1
BA35069,BA35069,0886466350695,1.6667,6
BA41935,BA41935,0886466419347,10.0,1
BA41949,BA41949,0886466419354,0.8333,12
4PC BATH SET OLY WINDOW GIFT BOX,BA35442,0886466354419,10.0,1
4PC BATH SET ARI WINDOW GIFT BOX,BA35443,0886466354426,0.8333,12
BA41923,BA41923,0886466419248,10.0,1
4PC BATHROOM SET MASON JAR WHITE BLACK COLOR GIFT BOX,BA41563,0886466419231,1.6667,6
BA41264,BA41264,0886466412638,10.0,1
BA41531,BA41531,0886466412645,10.0,1
BA41532,BA41532,0886466415318,0.8333,12
BA41542,BA41542,0886466419408,10.0,1
BA41543,BA41543,0886466415424,10.0,1
CM41005,CM41005,0886466350930,0.1667,48
