UPC,Description,Unit Cost,Qty
030772206225,DOWNY 38z F/S COZY CHERRY JUBILEE,6.0,1
030772007976,DOWNY 50z FABRIC SFTNR LAVENDER,3.35,1
030772087251,DOWNY 5z SCNT BOOSTR UNSTPBLE FRESH,3.6,1
030772168011,D DOWNY 64PC DISP 50z I F/S LVNDR/SUMMR S,3.35,1
030772007990,DOWNY FRESH 125z F/S LVNDR DREAM,7.8,1
030772010983,DOWNY 50oz F/S FRSH SWEET SUMMER,3.35,1
030772087800,DOWNY 5z SCNT BOOSTR LGHT OCEAN MST,3.6,1
030772087343,DOWNY 5z SCNT BOOSTR UNSTPBLE LUSH,3.6,1
030772125625,DOWNY SFT 8z 2n1 SFT/FRSH APRIL FRS,0.9,1
030772085042,DREFT 5z BOOSTER BEAD BABY FRESH,3.75,1
030772129623,GAIN 15CT DRYER SHEET SUPER FRESH,1.0,1
030772196830,D GAIN 45PC 4.3z I BOOSTR DISP TANGO S,3.6,1
030772008027,GAIN 50z FBRC SFTNR BLUE BLOSSOM,3.35,1
037000983576,GAIN 60CT DRYER SHEETS MOONLGHT BRZ,2.75,1
030772080344,GAIN 10CT DRYER SHEETS FRSH WATER,0.75,1
037000823650,GAIN 34CT DRYER SHEET ORIGINAL,1.8,1
030772008010,GAIN 50z FBRC SFTNR SUNFLOWR FRESH,3.35,1
024200038137,PUREX CRYSTAL 21z BOOSTR FRESH,3.5,1
024200038281,PUREX CRYSTAL 21z BOOSTR FRSH SPRNG,3.5,1
024200049423,PUREX CRYSTAL 21z BOOSTR TAHITIAN,3.5,1
827854008866,SUAVITEL 105oz F/S LVNDER (PURPLE),7.5,1
035000980113,SUAVITEL 18CT MRNG SUN DRYER SHTS,0.95,1
827854009405,SUAVITEL 46z F/S MORNING SUN YELLOW,3.35,1
024200038342,PUREX CRYSTAL 21z BOOSTR LAVENDER,3.5,1
827854008941,SUAVITEL 105oz F/S FLD FLWR (BLUE),7.5,1
827854009078,SUAVITEL 105oz F/S MORNING (YELLOW),7.5,1
827854009429,SUAVITEL 46z F/S FIELD FLWR BLUE,3.35,1
035000393753,SUAVITEL 70CT MRNG SUN DRYER SHTS,2.65,1
827854009412,SUAVITELA 46z F/S LAVENDER PRPLE,3.35,1
072613709601,TARGET UP & UP 105CT DRYER SHT LAV,3.0,1
4015400259275,ALWAYS 10PK CLASSIC NORMAL W/WINGS,1.5,1
037000899099,ALWAYS 14CT SIZE 3 XTRA HVY UNSCNTD,4.25,1
030772033999,ALWAYS 16CT #4 MAXI PADS OVERNIGHT,4.25,1
030772218129,ALWAYS 16CT LINERS XTRA PRTCT LONG,1.35,1
030772034002,ALWAYS 14CT MAXI #5 XTRA HVY PAD,4.25,1
037000953340,ALWAYS 15CT FLXFM #1 REG LIGHT CLN,4.25,1
030772033524,ALWAYS 16CT #4 ULT THIN PADS OVRNGT,4.25,1
030772033999,ALWAYS 16CT MAXI #4 OVERNGHT PAD,4.25,1
037000117148,ALWAYS 16CT SIZE 2 FLEX HVY UNSCNTD,4.25,1
030772033456,ALWAYS 17CT ULT THN #3 XTRA LNG PAD,4.25,1
030772163382,ALWAYS 20CT LINERS REGULAR UNSCNTD,1.0,1
037000426882,ALWAYS 20CT THIN LINERS UNSCNENTED,1.0,1
030772174258,ALWAYS 20CT UNDRWR XL 20-26 BUTQUE,12.0,1
030772033524,ALWAYS 16CT ULT THN #4 OVERNGHT PAD,4.25,1
037000117131,ALWAYS 18CT FLXFM #1 REG UNSCNTD,4.25,1
037000426899,ALWAYS 20CT THIN LINERS CLEAN SCENT,1.0,1
030772033418,ALWAYS 20CT ULT THN #2 LONG SPR PAD,4.25,1
030772033395,ALWAYS 22CT ULT THN # 1 REGULAR PAD,4.25,1
030772033692,ALWAYS 26CT LNG SPR #2 W/O FLEX,4.25,1
030772218518,ALWAYS 54CT LINERS REG UNSCNTD DALY,4.25,1
030772245293,ALWAYS 6CT #4 ULT THIN PAD OVERNGHT,2.4,1
030772245309,ALWAYS 8CT #2 ULT THIN PAD LNG SUPR,2.4,1
4015400259459,ALWAYS 9PK CLASSIC MAXI W/WINGS,1.5,1
030772161692,ALWAYS 46ct LINERS LONG UNSCENTED,4.0,1
030772022665,ALWAYS 60CT DAILY LINERS UNSNTD,4.25,1
030772022658,ALWAYS 72CT CLEAN SCENT THIN LINERS,4.25,1
4015400260837,ALWAYS 8CT SIZE 3 CLASSIC NGHT WING,1.5,1
352688195739,LEMISOL PLUS 16z ORIGINAL,5.96,1
073010720749,TAMPAX 10CT PEARL SUP TAMPON UNSCNT,2.75,1
073010631663,D TAMPAX 15PC DSP I 36/32CT REG/SPR/ULT S,5.99,1
073010280106,TAMPAX 20CT UNSCNTD REGULAR ABSORB,4.5,1
073010718319,TAMPAX 52CT TAMPON RADIANT REF/SPR,8.4,1
073010713062,TAMPAX 14CT RADIANT TAMPNS UNSC REG,4.25,1
073010380103,TAMPAX 20CT UNSCNTD SUPER ABSORB,4.5,1
8720181652776,DOVE 3PC RELAX BW SET 2-225ML/1PUFF,3.75,1
5025970017686,NIVEA 2PC MEN SET FEEL CALM SPRY/BW,3.75,1
5025970017716,NIVEA 2PC MEN SET PULSE SPRY/BW,3.75,1
5025970013374,NIVEA 3PC WMN SHW CRM/LTN/R/O BAG,10.0,1
8720181637292,DOVE 3PC SET 2BW+1PUFF SHEA/SILK,4.5,1
5025970017693,NIVEA 2PC MEN SET PROTECT SPRAY/BW,3.75,1
5025970016016,NIVEA 3PC MEN SET BW/CLNSR/CRM,4.8,1
5025970016054,NIVEA 5PC MEN BW/CL NSR/SHV/DEO/CRM,8.9,1
8006540682333,OLD SPICE 2PC CAPTAIN GIFT SET,4.5,1
8006530005487,OLD SPICE 3PC NIGHTPANTHER GIFT SET,6.4,1
309976623122,COLORSILK 1BB NATURAL BLUE BLACK,2.15,1
309978695110,COLORSILK 1WN SOFT BLACK,2.15,1
309978695349,COLORSILK 3DB DEEP BURGUNDY,2.15,1
309978695318,COLORSILK 3R DARK AUBURN,2.15,1
309978695103,COLORSILK 1N BLACK,2.15,1
309978695202,COLORSILK 2N BROWN/BLACK,2.15,1
