UPC,Description,Unit Cost,Qty
062338009452,Air Freshener — Air Wick Essential Mist Refill Harvest Pumpkin & Spice 6 1 ct,1.57,6
5059001000989,Air Freshener — Air Wick Fresh n Up Air Freshner Wild Berries 12 12.6 oz,1.68,12
062338780467,Air Freshener — Air Wick Scented Oil Gadget 6 1 ct,1.36,6
062338013657,Air Freshener — Air Wick Scented Oil Paradise Retreat 4pk 5 2.69 oz,5.99,5
062338013671,Air Freshener — Air Wick Scented Oil Vanilla & Pink Papaya 4pk 5 2.69 oz,5.99,5
062338014531,Air Freshener — Air Wick Scented Oil Vibrant Sugarplum & Fig 3pk 6 2.02 oz,4.52,6
062338014333,Air Freshener — Air Wick Scented Oil Vibrant Winter Woods & Frosted Ivy 3pk 6 2.02 oz,4.52,6
037000962502,Air Freshener — Febreze Air Effects Gain Moonlight Breeze Scent 6 8.8 oz,2.6,6
037000962526,Air Freshener — Febreze Air Effects Gain Original 6 8.8 oz,2.6,6
037000962601,Air Freshener — Febreze Air Effects Hawaiian Aloha 6 8.8 oz,2.6,6
030772114278,Air Freshener — Febreze Air Effects Southern Lilac Mornings 6 8.8 oz,2.6,6
030772031742,Air Freshener — Febreze Air Freshener Spray Baked Apples 6 8.8 oz,2.6,6
8700216451581,Air Freshener — Febreze Air Freshener Spray Citrus & White Verbena 8 6.25 oz,2.37,8
8700216185660,Air Freshener — Febreze Air Freshener Spray Exotic Bloom 8 6.25 oz,2.37,8
037000780120,Air Freshener — Febreze Air Freshener Spray Hawaiian Aloha 2pk 3 8.8 oz,5.2,3
8700216552448,Air Freshener — Febreze Air Freshener Spray Sugarplum Delight 8 6.25 oz,2.37,8
030772089378,Air Freshener — Febreze Fabric Refresher Gain Island Fresh 6 14.8 oz,3.52,6
030772089385,Air Freshener — Febreze Fabric Refresher Gain Original 8 14.8 oz,3.52,8
037000901204,Air Freshener — Febreze Scented Oil Starter Kit Machine + Refill Gain Original 4 .87 oz,5.46,4
037000901211,Air Freshener — Febreze Scented Oil Starter Kit Machine + Refill Linen & Sky 4 .87 oz,5.46,4
037000933311,Air Freshener — Febreze Small Spaces Gain Original Scent 6 1 ct,2.78,6
037000933366,Air Freshener — Febreze Small Spaces Linen & Sky 6 1 ct,2.78,6
070881431002,Air Freshener — Renuzit Solid After The Rain 12 7 oz,1.37,12
070881431446,Air Freshener — Renuzit Solid Pure Breeze Pet 12 7 oz,1.37,12
030772122679,Air Freshener — Tide Liquid Febreze Spring & Renewal 29ld HE 6 42 oz,9.29,6
030772115930,Air Freshener — Tide Liquid Simply Oxi Boost + Febreze Sunny Breeze 6 31 oz,3.86,6
030772122372,Air Freshener — Tide Liquid Ultra Febreze Spring & Renewal 4 84 oz,15.52,4
8886467062780,Baby — Dove Baby Wipes Rich Moisture 48 50 ct,0.9,48
5029053567822,Baby — Huggies Baby Wipes Soft Pack All Over Clean 10 56 ct,1.26,10
030772158104,Baby — Luvs Diapers Platinum Protection Bluey Size 3 4 32 ct,8.05,4
030772158234,Baby — Luvs Diapers Platinum Protection Bluey Size 4 4 28 ct,8.05,4
030772158227,Baby — Luvs Diapers Platinum Protection Bluey Size 5 4 24 ct,8.05,4
030772158067,Baby — Luvs Diapers Platinum Protection Bluey Size 6 4 20 ct,8.05,4
037000862086,Baby — Pampers Baby Dry Diapers Jumbo Size 1 2 44 ct,12.21,2
037000862109,Baby — Pampers Baby Dry Diapers Jumbo Size 3 4 32 ct,12.2,4
037000862116,Baby — Pampers Baby Dry Diapers Jumbo Size 4 4 28 ct,12.2,4
037000862123,Baby — Pampers Baby Dry Diapers Jumbo Size 5 4 24 ct,12.2,4
037000862130,Baby — Pampers Baby Dry Diapers Jumbo Size 6 4 21 ct,12.2,4
8001841077949,Baby — Pampers Baby Wipes Fresh Clean 4pk 3 208 ct,5.47,3
8001841062624,Baby — Pampers Baby Wipes Sensitive 4pk 3 208 ct,5.47,3
016500601043,Batteries/OTC/Misc — Alka Seltzer Tablets Counter Tray Extra Strength 16 72 ct,6.6,16
073854000922,Batteries/OTC/Misc — Bee Playing Cards Standard 12 1 ct,2.45,12
073852096521,Batteries/OTC/Misc — Purell Hand Sanitizer Pump Refreshing Gel 12 8 oz,3.0,12
073852009392,Batteries/OTC/Misc — Purell Hand Sanitizer Pump Soothing Gel 12 8 oz,3.0,12
073852293562,Batteries/OTC/Misc — Purell Hand Sanitizer Soothing Gel Pump 4 24 oz,5.68,4
305215163282,Batteries/OTC/Misc — Q-Tips 12 375 ct,3.05,12
045893098246,Batteries/OTC/Misc — Q-Tips 12 750 ct,4.73,12
305215070009,Batteries/OTC/Misc — Q-Tips 24 170 ct,1.98,24
305215007005,Batteries/OTC/Misc — Q-Tips Family Size 12 500 ct,3.67,12
305215251002,Batteries/OTC/Misc — Q-Tips Family Size 12 625 ct,4.19,12
305210221277,Batteries/OTC/Misc — Q-Tips Purse Pack 36 30 ct,1.32,36
011111066274,Body Wash/Soap — Axe Body Wash Phoenix WPump 2pk 4 32 oz,8.39,4
810170040115,Body Wash/Soap — Caress Body Wash Black Orchid & Patchouli Oil wPump 4 30 oz,6.63,4
011111047693,Body Wash/Soap — Caress Body Wash Daily Silk White Peach & Orange 4 30 oz,6.63,4
011111047679,Body Wash/Soap — Caress Body Wash Mango & Almond Oil 4 30 oz,6.63,4
011111047716,Body Wash/Soap — Caress Body Wash Shea Butter & Brown Sugar 4 30 oz,6.63,4
302990853469,Body Wash/Soap — Cetaphil Body Wash Moisturizing Relief 12 16.9 oz,5.04,12
302993938064,Body Wash/Soap — Cetaphil Body Wash Ultra Gentle Refreshing 12 16.9 oz,5.04,12
302990532364,Body Wash/Soap — Cetaphil Face Cleanser Gentle Exfoliating SA wPump 12 16 oz,6.17,12
017000092881,Body Wash/Soap — Dial Body Wash Coconut Water 6 16 oz,2.79,6
017000161839,Body Wash/Soap — Dial Body Wash Hibiscus Water 6 16 oz,2.79,6
017000071916,Body Wash/Soap — Dial Body Wash Lavender & Twilight Jasmine 6 16 oz,2.79,6
017000046204,Body Wash/Soap — Dial Body Wash Mens Hair & Body Ultimate Clean 6 16 oz,2.79,6
017000091723,Body Wash/Soap — Dial Body Wash Mens Hydro Fresh 6 16 oz,2.79,6
017000122465,Body Wash/Soap — Dial Body Wash Miracle Oil Marula 6 16 oz,2.79,6
017000120027,Body Wash/Soap — Dial Body Wash Silk & Seaberry 6 16 oz,2.79,6
017000169859,Body Wash/Soap — Dial Liquid Hand Soap Pump Ocean Splash 12 7.5 oz,1.33,12
017000092706,Body Wash/Soap — Dial Liquid Hand Soap Pump Skin Therapy Pink 12 7.5 oz,1.33,12
017000092614,Body Wash/Soap — Dial Liquid Hand Soap Pump Vanilla Creme & Soy Extract 12 7.5 oz,1.33,12
017000357263,Body Wash/Soap — Dial Soap Sensitive 16pk 6 4 oz,10.5,6
011111045194,Body Wash/Soap — Dove Body Wash USA Dryness Relief Jojoba Oil W-Pump 3 30.6 oz,6.84,3
8720181460012,Body Wash/Soap — Dove Body Wash Anti Stress Chamomile Oat Milk 12 20.2 oz,3.95,12
8999999042479,Body Wash/Soap — Dove Body Wash WPump Deeply Nourishing 12 33.8 oz,5.52,12
8999999031046,Body Wash/Soap — Dove Body Wash WPump Go Fresh Energize Grapefruit 12 33.8 oz,5.52,12
