Item,SKU,UPC,Unit Cost,Case Size
Gain/Flings/Original/4/76/ct,30772-09207,030772092071,19.9775,4
Arm & Hammer/Liquid/Clean Burst/4/110/oz,33200-00429,033200004295,9.205,4
Roma/Liquid//12/33.8/oz,12005-41661,012005416618,2.4092,12
Tide/Liquid/Free & Gentle HE/4/84/oz,30772-12143,030772121436,15.5175,4
Tide/Liquid/Original 2x/6/25/oz,37000-13875,037000138754,6.1367,6
Arm & Hammer/Liquid/Plus Softener Orchard Bloom/4/100.5 /oz,33200-00265,033200002659,9.205,4
Purex/Liquid/Oxi Plus/6/50/oz,24200-00472,024200004712,3.4717,6
Arm & Hammer/Liquid/Baby/8/45.5/oz,33200-97614,033200976141,4.3388,8
Ariel/Liquid/Ultra Concentrated Color & Style 18ld/6/24/oz,30772-26584,030772265840,3.1033,6
Gain/Flings/Original/4/31/ct,30772-09480,030772094808,9.615,4
Arm & Hammer/Liquid/Plus OxiClean Odor Blasters Fresh Burst/8/45.5/oz,33200-30003,033200300038,4.3388,8
Tide/Liquid/Ultra Hygienic Clean Original 83ld/4/117/oz,30772-17533,030772175330,22.08,4
Tide/Liquid/Simply Oxi Boost + Febreze Sunny Breeze/6/31/oz,30772-11593,030772115930,3.86,6
Arm & Hammer/Liquid/Fresh Scent Plus OxiClean/8/45.5/oz,33200-30002,033200300021,4.3388,8
Clorox 2/Liquid/Original/4/88/oz,44600-30713,044600307138,14.19,4
Clorox 2/Liquid/Clean Linen/4/88/oz,44600-31474,044600314747,14.19,4
Tide/Liquid/Original Hygienic Clean Heavy 10x Duty HE/4/84/oz,30772-12248,030772122488,15.5175,4
Gain/Liquid/Moonlight Breeze 32ld/6/42/oz,30772-22599,030772225998,6.2233,6
Gain/Liquid/Blossom Burst 32ld/6/42/oz,30772-24768,030772247686,6.2233,6
Tide/Liquid/Ultra Febreze Spring & Renewal/4/84/oz,30772-12237,030772122372,15.5175,4
Clorox/Bleach Liquid/Lavender & Jasmine/6/81/oz,55500-55978,055500559787,4.7333,6
All/Liquid/Sensitive Fresh Spring Breeze/2/208/oz,72613-47469,072613474691,18.41,2
Tide/Liquid/Ultra Odor Defense + Oxi 83ld/4/117/oz,30772-17534,030772175347,22.08,4
