Item,SKU,UPC,Unit Cost,Case Size
Purell/Hand Sanitizer/Soothing Gel Pump/4/24/oz,73852-29356,073852293562,5.685,4
Q-Tips/Cotton Swabs/4pk/4/500/ct,05210-04718,305210047181065656913715,10.2575,4
Swan/Alcohol/70% Wintergreen/12/16/oz,08691-30610,308691306105,2.0658,12
Rite Aid/Cotton Swabs//24/375/ct,11822-16472,011822164726,1.0413,24
Swan/Alcohol/70% Clear/12/16/oz,08691-15610,308691156106,1.9983,12
White Dove/Rubbing Alcohol/Wintergreen 70%/12/16/oz,14367-35174,714367351742,1.17,12
Swan/Citrate Of Magnesia/Low Sodium Lemon/6/10/oz,72785-91923,072785143883000,2.2933,6
Summers Eve/Douche/Extra Cleansing 4pk/6/4.5/oz,41608-87476,041608874747,2.63,6
White Dove/Rubbing Alcohol/Clear 99%/12/16/oz,14367-35176,714367351766,1.3675,12
Swan/Peroxide/3%/12/32/oz,08694-70710,308694707107,1.315,12
White Dove/Rubbing Alcohol/Clear 70%/12/16/oz,14367-35172,714367351728,1.17,12
Swan/Peroxide/3%/12/16/oz,08694-70610,308694706100,0.8208,12
Pampers/Baby Dry/Size 4/1/144/ct,30772-03438,030772034385,25.24,1
Huggies/Jumbo/Snug & Dry #4/4/30/ct,36000-56427,036000564273,10.8875,4
Luvs/Diapers/Platinum Protection Bluey Size 5/4/24/ct,30772-15822,030772158227,8.0475,4
Luvs/Diapers/Platinum Protection Bluey Size 6/4/20/ct,30772-15806,030772158067,8.0475,4
Well Beginnings/Baby Wipes/Unscented/12/120/ct,11917-13615,311917136158,1.2625,12
Huggies/Jumbo/Snug & Dry #5/4/25/ct,36000-56428,036000564280,10.8875,4
Pampers/Easy Ups Training Underwear/Girls Size 6 4T-5T Peppa Pig/3/18/ct,37000-76464,037000764649,8.3833,3
Luvs/Diapers/Platinum Protection Bluey Size 3/4/32/ct,30772-15810,030772158104,8.0475,4
Pampers/Baby Dry Diapers/Jumbo Size 3/4/32/ct,70009-70774,037000862109,12.2025,4
Pampers/Baby Dry Diapers/Jumbo Size 4/4/28/ct,37000-99828,037000862116,12.2025,4
Luvs/Diapers/Platinum Protection Bluey Size 4/4/28/ct,30772-15823,030772158234,8.0475,4
Pampers/Easy Ups Training Underwear/Boys Size 4 2T-3T Bluey/3/25/ct,37000-76443,037000764434,8.3833,3
Huggies/Jumbo/Snug & Dry #1/4/44/ct,36000-56424,036000564242,10.8875,4
Huggies/Jumbo/Snug & Dry #2/4/38/ct,36000-56425,036000564259,10.8875,4
"Huggies/Half Pallet Pull Ups Training Pants Mixed Display/4 Size 2 Girls 74ct, 4 Size 2 Boys 74ct, 4 Size 3 Girls 66ct, 4 Size 3 Boys 66ct, 3 Size 3.5 Girls 56ct, 3 Size 3.5 Boys 56ct/22/1/ct",36000-53684,036000536843,15.99,22
Huggies/Jumbo/Snug & Dry #3/4/31/ct,36000-51471,036000514711,10.8875,4
Pampers/Easy Ups Training Underwear/Girls Size 4 2T-3T Peppa Pig/3/25/ct,37000-76456,037000764564,8.3833,3
Ditto/Diapers/(Compare To Pampers) Size 6/8/16/ct,14367-35336,714367353371,4.1863,8
Pampers/Baby Dry/Size 5/1/128/ct,30772-03439,030772034392,25.24,1
Pampers/Easy Ups Training Underwear/Girls Size 5 3T-4T/4/22/ct,37000-76553,037000764052,7.88,4
Ditto/Diapers/(Compare To Pampers) Size 4/8/20/ct,14367-35332,714367353333,4.1863,8
Ditto/Diapers/(Compare To Pampers) Size 5/8/18/ct,14367-35334,714367353357,4.1863,8
Pampers/Baby Diapers/Easy Ups Size 2T-3T/1/140/ct,37000-76436,037000764366,22.08,1
Huggies/Baby Wipes Soft Pack/Pure/10/56/ct,502905-465957,5029053550039,1.262,10
Dove/Baby Lotion/Sensitive/6/6.8/oz,10908-65631,8710908658006,1.4733,6
Kandoo/Flushable Wipes/Kids Sensitive Fragrance Free Flip Cap 4pk/6/200/ct,14521-01305,814521013056,3.7867,6
Pampers/Baby Wipes/Sensitive 4pk/3/208/ct,800184-106261,8001841062624,5.47,3
Huggies/Baby Wipes Soft Pack/Natural Care Aloe/10/56/ct,502905-465969,5029053550152,1.262,10
Huggies/Jumbo/Snug & Dry #6/4/19/ct,36000-51470,036000514704,10.8875,4
Huggies/Baby Wipes Soft Pack/Ultra Comfort Aloe/10/56/ct,502905-424112,5029053590950,1.0,10
Pampers/Baby Diapers/Swaddlers 360 Size 6/1/68/ct,30772-13356,030772133569,16.82,1
Pampers/Easy Ups/Size 4T-5T My Little Pony/1/104/ct,37000-76440,037000764403,22.08,1
Dove/Body Wash/Beauty Nourishing W-Pump/12/33.8/oz,01030-86578,8901030865787,5.5225,12
Dove/Body Wash/Men Cool Fresh/12/13.5/oz,720181-166921,8720181166921,2.9458,12
Dove/Body Wash/Petal Soft/12/24.4/oz,872018-147204,8720181471582,4.0817,12
Axe/Body Wash/3 In 1 Excite W-Pump/12/33.8/oz,01030-91266,8901030912665,5.2392,12
Caress/Body Wash/Shea Butter & Brown Sugar/4/30/oz,11111-04769,011111047716,6.6275,4
Old Spice/Body Wash/NFL Kittle Can Cook/4/24/oz,12044-06553,012044065532,5.04,4
Dial/Body Wash/Hydro Fresh Aloe 3 in 1 WPump/4/32/oz,17000-14130,017000141299,6.6175,4
Dial/Body Wash/Mens Soothe/6/16/oz,17000-16959,017000169583,2.7883,6
"Soft Soap/Body Wash Display/6 Pomegranate 20oz, 6 Strawberry 20oz, 6 Cool Cucumber 20oz & 6 Coconut 20oz/24/1/ct",27854-02274,074182473518473389827854019176827854019169,2.9454,24
Caress/Body Wash/Daily Silk White Peach & Orange/4/30/oz,11111-04771,011111047693,6.6275,4
Dove/Body & Face Wash/Men+Care Cool Fresh/12/13.5/oz,720181-166709,8720181166617,3.1558,12
Dial/Body Wash/Gold/6/16/oz,17000-09119,017000091181,2.7883,6
Dove/Body Wash/Mens Sport Active Fresh/12/13.5/oz,720181-358067,8720181166563,2.9458,12
Axe/Body Wash/Phoenix WPump 2pk/4/32/oz,11111-06627,011111066274,8.395,4
Cetaphil/Body Wash/Moisturizing Relief/12/16.9/oz,02990-85346,302990853469,5.0392,12
Dove/Body Wash/Men Eucalyptus Mint/12/13.5/oz,720181-445477,8720181444708,2.9458,12
Old Spice/Body Wash/Superman Body Face Black Cherry Nightfall/4/16/oz,12044-06264,012044062647,3.4725,4
Old Spice/Body Wash/NFL Saquon Soar/4/24/oz,12044-06555,012044065556,5.04,4
Dove/Body Wash/Men+Care Exfoliating Deep Clean WPump/4/30/oz,11111-04879,011111048799,6.195,4
Dial/Body Wash/Calm and Soothe Lavender and Jasmine WPump/4/32/oz,17000-11860,017000118598,6.6175,4
Cetaphil/Body Wash/Ultra Gentle Refreshing/12/16.9/oz,02993-93806,302993938064,5.0392,12
Ivory/Body Wash/Water Lily/4/35/oz,30772-01848,030772018484,6.6175,4
Ivory/Body Wash/Lavender/4/35/oz,30772-01849,030772018491,6.6175,4
Ivory/Body Wash/Aloe/4/35/oz,30772-01847,030772018477,6.6175,4
Dove/Body Wash/Deeply Nourishing/12/20.2/oz,720181-457692,8720181457395,3.945,12
Caress/Body Wash/Mango & Almond Oil/4/30/oz,11111-04768,011111047679,6.6275,4
Ivory/Body Wash/Coconut/4/35/oz,30772-01850,030772018507,6.6175,4
Dove/Body Wash/Glow Mango & Almond Butter WPump/3/30.6/oz,11111-02486,011111024861,6.8367,3
Dove/Body Wash/Unwind Blueberry & Moon Milk WPump/3/30.6/oz,11111-05533,011111055339,6.8367,3
Ivory/Body Wash/Sunshine Spritz/4/35/oz,30772-22356,030772223567,6.6175,4
Ivory/Body Wash/Jojoba/4/35/oz,30772-12716,030772127162,6.6175,4
Dove/Body Wash/Renew Peony & Rose wPump/3/30.6/oz,11111-00639,011111722590,6.8367,3
Caress/Body Wash/Black Orchid & Patchouli Oil wPump/4/30/oz,10170-04011,810170040115,6.6275,4
Ivory/Body Wash/Milk & Honey/4/35/oz,30772-01843,030772018439,6.6175,4
Dove/Body Wash/WPump Deeply Nourishing/12/33.8/oz,02088-30941,8999999042479,5.5225,12
Irish Spring/Body Wash/5 in 1 Legends Golden Honey & Vetiver/4/20/oz,27854-02852,827854028529,3.1,4
Irish Spring/Body Wash/5 in 1 Legends Sea Salt Cedarwood/4/20/oz,27854-02862,827854028628,3.1,4
Axe/Body Wash/3 In 1 Black W-Pump/6/33.8/oz,91265-01030,9556006280065,5.2383,6
Old Spice/Shampoo/2In1 Pure Sport WPump/8/29.2/oz,12044-04744,012044046548,6.2062,8
Old Spice/Body Wash/Night Panther Wpump/4/27/oz,12044-05858,012044058589,6.29,4
Old Spice/Body Wash/Endurance Pure Sport Wpump/4/33.4/oz,12044-05966,037000733607,6.29,4
Ivory/Body Wash/Original/4/35/oz,30772-01846,030772018460,6.6175,4
Old Spice/Body Wash/Fiji Wpump/4/25/oz,37000-79338,037000793380,6.29,4
Old Spice/Body Wash/3 In 1 Captain/6/22.8/oz,006540-280157,8006540280140,3.3667,6
Old Spice/Body Wash/2 In 1 Endurance Crisp Wpump/4/33.4/oz,12044-05967,037000695424,6.29,4
Dove/Body Wash/Men+Care Mango + Cedarwood WPump/4/30/oz,11111-04878,011111048782,6.195,4
Yardley/Body Wash/Shower Creme English Rose W Pump/12/30.4/oz,935212-83087,8935212830874,3.8,12
Dove/Body Wash/Nourishing Care/12/20.2/oz,720181-460463,8720181460081,3.945,12
Soft Soap/Body Wash/Watermelon/12/12/oz,27854-02957,827854029571,1.25,12
"Irish Spring/Display/Body Wash 6 5In1 Fresh Eucalyptus 20oz, 6 Original 20oz, 6 Cedarwood Sea Salt 20oz & 6 Honey Vetiver 20oz/24/1/ct",27854-03281,035000996756996749827854027607027614,3.135,24
Yardley/Body Wash/Shower Creme English Lavender W Pump/12/30.4/oz,935212-83089,8935212830898,3.8,12
Old Spice/Body Wash/Swagger Wpump/4/27/oz,12044-05860,012044058602,6.29,4
Yardley/Body Wash/Shower Creme English Musk W Pump/12/30.4/oz,935212-83088,8935212830881,3.8,12
Old Spice/Body Wash/Krakengard Wpump/4/27/oz,12044-06265,012044062654,6.29,4
Native/Body Wash/Key Lime & Sugar/6/18/oz,12154-03819,812154038194,4.7233,6
Dove/Body Wash/Go Fresh Rose Soothing W Pump/12/33.8/oz,01030-85739,8901030857393,5.5225,12
Dove/Body Wash/Almond & Hibiscus W-Pump/12/33.8/oz,01030-84622,8901030846229,5.5225,12
Dove/Body Wash/Relaxing/12/15.2/oz,50061-46824,850061468246,3.135,12
Dove/Body Wash USA/Sensitive Skin W-Pump/3/30.6/oz,11111-00638,011111396494,6.8367,3
Yardley/Body Wash/English Blossom W Pump/12/30.4/oz,35212-83107,8935212831079,3.8,12
Soft Soap/Body Wash/Orange Blossom/12/12/oz,27854-02958,827854029588,1.25,12
Dove/Body Wash/Rebalance White Peach + Rice Milk WPump/3/30.6/oz,11111-05534,011111055346,6.8367,3
Dove/Body Wash/Sensitive Skin/12/33.8/oz,01030-85740,8901030857409,5.5225,12
