Item,SKU,UPC,Unit Cost,Case Size
"Dove Advanced Care Antiperspirant, Shea Butter, 2.6 oz 12/cs",51203,079400351203,0.3125,12
Dove Advanced Care Beauty Finish Antiperspirant Deodorant - 2.6 oz 12/cs,35293,079400352934,0.3125,12
Dove Advanced Care Deodorant 150 ML Cucumber & Green Tea Scent Antiperspirant Spray 72h Protection,60127,8909106012738,0.1042,24
Dove Advanced Care Deodorant 150 ML Pomegranate & Lemon Verbena Scent Antiperspirant Spray 72h,03741,8909106037410,0.1042,24
"Dove Advanced Care Go Fresh Anti?Perspirant Stick, Rejuvenate, 2.6 oz 12/cs",69144,079400691446,0.3125,12
Dove Anti-Perspirant Advance Clear Finish 2.6 oz 12/cs,59301,079400593016,0.3125,12
Dove Antiperspirant Deodorant Advanced Care Sheer Cool 2.6 oz 12/cs,44834,079400448347,0.3125,12
Dove Anti-Perspirant Roll On 50ml Classic Fresh 48H protection 6/cs,09536,59095361,0.325,6
Dove Anti-Perspirant Roll On 50ml Fresh Care 48H protection 6/cs,95385,59095385,0.325,6
Dove Anti-Perspirant Roll On 50ml Men+care Classic 48H protection 6/cs,90926,59092643,0.325,6
Dove Anti-Perspirant Roll On 50ml Powder Fresh 48H protection 6/cs,09540,59095408,0.325,6
Dove Antiperspirant Spray 300ml Classic Fresh 48H protection 270/pt 6/cs,56524,8720181556524,0.6417,6
Dove Antiperspirant Spray 300ml Fresh Care 48H protection 270/pt 6/cs,83337,8720181833373,0.6417,6
Dove Antiperspirant Spray 300ml Men+Care Classic 48H protection 270/pt 6/cs,55651,8720181556517,0.6417,6
Dove Antiperspirant Spray 300ml Men+Care Fresh 48H protection 270/pt 6/cs,55653,8720181556531,0.6417,6
"Dove Anti-Stress Blue Chamomile + Oat Milk Body Wash, 20 fl oz 192/pt 4/cs",03344,011111033443,1.5625,4
"Dove Baby Rich Moisture Sensitive Care Baby Bathing Bar, 90g (12x4pk) 48/cs",13714,8886467137143,0.0177,48
Dove Beauty Advanced Care Cool Essentials 72-Hour Antiperspirant & Deodorant Stick - 2.6oz 252/pt 12/cs,53576,079400535764,0.625,6
Dove Beauty Bar Sensitive Skin 3.75 oz 10pk 112/pt 6/cs,04717,011111404717,1.7083,6
"Dove Beauty Bar, Pink 3.75 oz 6pk 12/cs",10156,011111610156,0.5625,12
Dove Beauty Nourishing Body Wash 27.05 oz 50/pt 12/cs,67083,8901030670831,0.4708,12
Dove Body Wash 15.2oz (450ml) Go Fresh 96/pt 12/cs,49299,8720181492990,0.2458,12
Dove Body Wash 15.2oz (450ml) Nourishing 96/pt 12/cs,49427,8720181494277,0.2375,12
Dove Body Wash 15.2oz (450ml) Silk 96/pt 12/cs,49433,8720181494338,0.2375,12
Dove Body Wash 25.3oz (750ml) Go Fresh 60/pt 12/cs,52794,8720181527944,0.3542,12
Dove Body Wash 25.3oz (750ml) Nourishing 60/pt 12/cs,52792,8720181527920,0.3542,12
Dove Body Wash Sensitive Skin 20 oz 192/pt 4/cs,12224-4,011111122246,1.5625,4
Dove Deep Moisture Body wash 20oz 192/pt 4/cs,12425,011111124257,1.5625,4
Dove Deeply Nourishing Body Wash 550 Ml 65/pt 12/cs,26400,8999999026400,0.3542,12
Dove Deodorant 150 ML Classic Fresh Antiperspirant Spray 48h Protection 6/cs,28690,8720181286902,0.4167,6
Dove Deodorant 150 ML Floral Fresh Antiperspirant Spray 48h Protection 6/cs,56676,8720181566769,0.4167,6
Dove Deodorant 150 ML Fresh Care Antiperspirant Spray 48h Protection 6/cs,28758,8720181287589,0.4167,6
Dove Deodorant 150 ML Men + Care Classic Antiperspirant Spray 6/cs,29554,8720181295546,0.4167,6
Dove Deodorant 150 ML Powder Soft Antiperspirant Spray 48h Protection 6/cs,28762,8720181287626,0.4167,6
