Item,SKU,UPC,Unit Cost,Case Size
"Post-it Flags, Dispenser Multicolor Removable File Tabs 4/6pk 100 ct 24/cs",72977,00021200528750,0.1042,24
Hershey's Kisses Cookies n Creme Candy 29.1 LBS BULK 36/pt 1/cs,95349,00034000953493,3.75,1
"Scotch Magic Tape with Dispenser 3/4 IN x 300 IN (8.33 YD) 19 mm x 7,62 m 3pk, (12-6/3pk) 72/cs",57634,00051131911703,0.0551,72
"Reese's, Jolly Rancher, Kit Kat Assorted Flavored Snack Size Candy - 25.4oz 48/pt 4/cs",60629,010700606297,1.5,4
"Dove Shea Butter Beauty Bar, 3.75 oz, 2 Bar 24/cs",07624,011111076242,0.1042,24
Dove Bars 3.75oz 6pk Original White 60/pt 12/cs,16101,011111610118,0.5625,12
Dove Bars 3.75 oz 6pk Cool Moisture Beauty Bar With Cucumber and Green Tea 60/pt 12/cs,16111,011111611177,0.5625,12
OLD SPICE DEODORANT STICK Batman 2.6oz 12/cs,06175,012044061756,0.3542,12
OLD SPICE ANTIPERSPIRANT AND DEODORANT SUPERMAN 3oz 12/cs,06187,012044061879,0.3542,12
"Old Spice Body Spray 5.1oz Aluminum Free Kittle Can Cook, Scent Of Sea Tides +Toughness 174/pt 12/cs",06480,012044064801,0.3125,12
OLD SPICE DEODORANT STICK Snickerdudel 2.6oz 12/cs,06552,012044065525,0.25,12
Dial Hand Soap 11oz Antibacterial & Sensitive Aloe Scent 140/pt 12/cs,09456,017000209456,0.2083,12
Lysol Brand New Day 32oz All Purpose Cleaner Lavender & Cotton Blossom Scent 48/pt 9/cs,20062,019200000062,0.4278,9
LYSOL Disinfecting Wipes Fresh Citrus 70ct 75/pt 6/cs,49128,019200491280,0.6583,6
LYSOL Toilet Bowl Cleaner - Brand New Day Lavender & Cotton Blossom 24oz 9/cs,56251,019200562515,0.3056,9
Lysol Brand New Day 2pk Each 24oz toilet bowl cleaner Bamboo Scent 88/pt 4/cs (8ct),62016,019200620161,0.3438,8
LYSOL Dual Action Wipes 35ct. 70/pt 12/cs,81143,019200811439,0.2292,12
"Lysol Power Clean Multi-Surface Cleaner 2x Concentrated, Cool Adirondack Air Scent 28 oz 68/pt 9/cs",82515,019200825153,0.3333,9
LYSOL Multi-Surface Cleaner 2X Concentrated - Pourable Brand New Day Coconut & Sea Minerals 28 oz,82520,019200825207,0.3333,9
Lysol All Purpose Cleaner With OXI Action Citrus Sparkle Zest Scent 32oz 48/pt 9/cs,89289,019200892896,0.4167,9
Lysol Antibacterial Disinfectant Wipes Early Morning Breeze 80 Count 75/pt 6/cs,89347,019200893473,0.625,6
"LYSOL Brand Power 32oz Limescale Remover, Atlantic Fresh Scent 36/pt 12/cs",95816,019200958165,0.3042,12
"Lysol Disinfectant Spray 3pk, 2/Crisp Linen 19oz, 1/Fabric Lavender Fields 15oz, 40/pt 6/cs",99883,019200998833,0.8333,6
"Windex Glass Cleaner Refill, Original Blue 67.6oz 52/pt 6/cs",00128,019800001285,0.9583,6
"Scotch Magic Invisible Tape 3/4 IN x 1296 IN (36 YD) 19 mm x 32,9 m 3pk (12/4/3pk) 48/cs",69883,021200698835,0.0875,48
"Scotch-Brite Kitchen Microfiber Cloths, 2pk 11.4 IN x 12.2 IN,( 29 cm x 31 cm) 12/cs",97497,021200974977,0.2625,12
Tresemme Extra Hold hair Gel 9oz 280/pt 6/cs,62374,022400623740,0.9583,6
Nair Wax Ready Strips Face and Bikini Orchid and Cherry Blossom Extracts 40 Wax Strips +4 Post Wipes,01957,022600019572,0.4167,12
Nair Hair Face Cream Remover Moisturizing with Sweet Almond Oil - 2 Oz (4x3pk) 12/cs,21031,022600210313,0.4167,12
Combat Source Kill Max Roach Gel 1.05oz 12/cs,51963-12,023400519637,0.3958,12
Olay Body Wash 22oz Fresh Radiance Peach & Cherry Blossom 250/pt 4/cs,12468,030772012468,1.5625,4
ALWAYS Maxi Size 2 Long Super Pads With Wings 26 Count 6/cs,03369,030772033692,1.0833,6
Mr. Clean Antibacterial Multi-surface Cleaner Liquid Lemon 41 oz 120/pt 4/cs,06893,030772068939,1.375,4
