ItemCode,Description,CasePack,Source,Search Query,Best ASIN,Matched Title,BSR,Monthly Sold,Seller Count,Amazon Present %,Amazon Is Buybox,Category
SUA105-02486,105oz Suavitel Fabric Softener Green Apple,4,e1edcc6e-AB_Catalog_part021040.pdf,Suavitel Fabric Softener Green Apple,,,,,,,,
XTRA-67424,101oz Xtra Fabric Softener Tropical Passion,4,e1edcc6e-AB_Catalog_part021040.pdf,Xtra Fabric Softener Tropical Passion,,,,,,,,
XTRA-67425,101oz Xtra Fabric Softener Woodland Mist,4,e1edcc6e-AB_Catalog_part021040.pdf,Xtra Fabric Softener Woodland Mist,,,,,,,,
Fab16-05334,16.9oz Fabuloso Lavender,24,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Lavender,,,,,,,,
Fab16-01684,16.9oz Fabuloso Passion of Fruits,24,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Passion Fruits,,,,,,,,
Fab16-01699,16.9oz Fabuloso Orange with Baking Soda,24,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Orange Baking Soda,,,,,,,,
Fab16-01690,16.9oz Fabulo Lemon,24,e1edcc6e-AB_Catalog_part021040.pdf,Fabulo Lemon,,,,,,,,
Fab28-53020,CLEANING PRODUCTS so 28oz Fabuloso Lavender,12,e1edcc6e-AB_Catalog_part021040.pdf,CLEANING PRODUCTS so Fabuloso Lavender,,,,,,,,
Fab28-53021,28oz Fabuloso Passion of Fruits,12,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Passion Fruits,,,,,,,,
Fab28-53024,28oz Fabuloso Baking Soda,12,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Baking Soda,,,,,,,,
Fab28-53022,28oz Fabuloso Ocean Paradise,12,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Ocean Paradise,,,,,,,,
Fab28-05621,28oz Fabuloso Tropical Scent,12,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Tropical Scent,,,,,,,,
Fab33-01219,33.8oz Fabuloso Watermelon,12,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Watermelon,,,,,,,,
Fab33-02639,33.8oz Fabulo Fresh Winter Mint,12,e1edcc6e-AB_Catalog_part021040.pdf,Fabulo Fresh Winter Mint,,,,,,,,
Fab56-97758,so 56oz Fabuloso Lavender,6,e1edcc6e-AB_Catalog_part021040.pdf,so Fabuloso Lavender,,,,,,,,
Fab56-98870,56oz Fabuloso Spring Fresh w/Bleach,6,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Spring Fresh Bleach,,,,,,,,
Fab210-05312,210oz Fabuloso Lavender,3,e1edcc6e-AB_Catalog_part021040.pdf,Fabuloso Lavender,,,,,,,,
CloWipe75-15949,75ct Clorox Disinfecting Wipes Fresh Scent,6,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Disinfecting Wipes Fresh Scent,,,,,,,,
Clo30-01005,30oz Clorox Disinfecting Bathroom Cleaner {Bleach free} ESOPRUP,9,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Disinfecting Bathroom Cleaner ESOPRUP,,,,,,,,
Clo30-01397,30oz Clorox Disinfecting Bleach Cleaner Crisp Lemon {Yellow},9,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Disinfecting Bleach Cleaner Crisp Lemon,,,,,,,,
Clo32-01401,32oz Clorox Disinfecting All Purpose Cleaner Original,9,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Disinfecting All Purpose Cleaner Original,,,,,,,,
Clo32-01402,32oz Clorox Disinfecting Bleach Cleaner Original {Green},9,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Disinfecting Bleach Cleaner Original,,,,,,,,
GreenW-2,24oz Multisurface Case,,e1edcc6e-AB_Catalog_part021040.pdf,Multisurface,,,,,,,,
Clo32-55825,32oz Clorox Disinfecting Bleach Cleaner Fresh Scent {Blue},9,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Disinfecting Bleach Cleaner Fresh Scent,,,,,,,,
Clorox16-90011,16.9oz{500 ml} Clorox Bleach Regular,20,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Bleach Regular,,,,,,,,
Clorox31-90012,31.45 Oz {930 ml} Clorox Bleach Regular,15,e1edcc6e-AB_Catalog_part021040.pdf,Oz Clorox Bleach Regular,,,,,,,,
Clorox32-90232,31.44oz {930ml} Clorox Color,15,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Color,,,,,,,,
Clorox43-01726,43oz Clorox Bleach Original,6,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Bleach Original,,,,,,,,
Clorox64-90013,64oz Clorox Bleach Original,8,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Bleach Original,,,,,,,,
Clorox128-00104,128oz Clorox Bleach Bleach Original,6,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Bleach Bleach Original,,,,,,,,
Clorox128-04704,128oz Clorox Bleach Ocean Breeze,6,e1edcc6e-AB_Catalog_part021040.pdf,Clorox Bleach Ocean Breeze,,,,,,,,
LysolWipe-56068,75ct Lysol Disinfecting Wipes Crisp Linen,6,e1edcc6e-AB_Catalog_part021040.pdf,Lysol Disinfecting Wipes Crisp Linen,,,,,,,,
LysolWipe-99367,75ct Lysol Disinfecting Wipes Mango Hibiscus,6,e1edcc6e-AB_Catalog_part021040.pdf,Lysol Disinfecting Wipes Mango Hibiscus,,,,,,,,
8,,,e1edcc6e-AB_Catalog_part021040.pdf,,,,,,,,,
LysolWipe-99368,75ct Lysol Disinfecting Wipes Lavender & Cotton Blossom,6,e1edcc6e-AB_Catalog_part021040.pdf,Lysol Disinfecting Wipes Lavender Cotton Blossom,,,,,,,,
LysolWipe-99369,75ct Lysol Disinfecting Wipes Citrus,6,e1edcc6e-AB_Catalog_part021040.pdf,Lysol Disinfecting Wipes Citrus,,,,,,,,
Lysol19-89640,19oz Lysol Disinfectant Spray Spring Waterfall,12,e1edcc6e-AB_Catalog_part021040.pdf,Lysol Disinfectant Spray Spring Waterfall,,,,,,,,
Lysol32-78914,32oz Lysol Trigger Multi Purpose Bleach,12,e1edcc6e-AB_Catalog_part021040.pdf,Lysol Trigger Multi Purpose Bleach,,,,,,,,
Lysol32-98769,"32oz Lysol Trigger, Brand New Day Mango Hibiscuse",9,e1edcc6e-AB_Catalog_part021040.pdf,Lysol Trigger Brand Day Mango Hibiscuse,,,,,,,,
Tilex32-12440,32oz Tilex Trigger Fresh Shower,9,e1edcc6e-AB_Catalog_part021040.pdf,Tilex Trigger Fresh Shower,,,,,,,,
Tilex32-12438,SRENAELC 32oz Tilex Trigger Mold & Mildew Remover ESOPRUP,9,e1edcc6e-AB_Catalog_part021040.pdf,Tilex Trigger Mold Mildew Remover ESOPRUP,,,,,,,,
Krud-33383,32oz Krud Kutter Trigger Mold & Mildew Stain Remover,6,e1edcc6e-AB_Catalog_part021040.pdf,Krud Kutter Trigger Mold Mildew Stain,,,,,,,,
MIST15-30001,15oz Mistolin All Purpose Cleaner Lavender,24,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Lavender,,,,,,,,
MIST15-30002,15oz Mistolin All Purpose Cleaner Floral,24,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Floral,,,,,,,,
MIST15-62000,15oz Mistolin All Purpose Cleaner Baby Floral,24,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Baby Floral,,,,,,,,
MIST15-30007,15oz Mistolin All Purpose Cleaner Bouquet,24,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Bouquet,,,,,,,,
MIST15-30005,15oz Mistolin All Purpose Cleaner Lilac,24,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Lilac,,,,,,,,
MIST15-31500,15oz Mistolin All Purpose Cleaner Gardenia,24,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Gardenia,,,,,,,,
MIST15-40001,15oz Mistolin All Purpose Cleaner Morning Mist {Rocio},24,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Morning Mist,,,,,,,,
MIST15-40003,15oz Mistolin All Purpose Cleaner Ocean Breeze,24,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Ocean Breeze,,,,,,,,
MIST28-30004,28oz Mistolin All Purpose Cleaner Floral,12,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Floral,,,,,,,,
MIST28-62001,28oz Mistolin All Purpose Cleaner Baby,12,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Baby,,,,,,,,
MIST28-30008,28oz Mistolin All Purpose Cleaner Bouquet,12,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Bouquet,,,,,,,,
MIST28-30006,28oz Mistolin All Purpose Cleaner Lilac,12,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Lilac,,,,,,,,
MIST28-40002,28oz Mistolin All Purpose Cleaner Morning Mist {Rocio},12,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Morning Mist,,,,,,,,
MIST28-51000,28oz Mistolin All Purpose Cleaner Ocean Breeze,12,e1edcc6e-AB_Catalog_part021040.pdf,Mistolin All Purpose Cleaner Ocean Breeze,,,,,,,,
