ItemCode,Description,CasePack,Source,Search Query,Best ASIN,Matched Title,BSR,Monthly Sold,Seller Count,Amazon Present %,Amazon Is Buybox,Category
FAM05-001,Ltr Mop Bucket,1,family_group,Ltr Mop Bucket,B0F8QTHVXC,Microfiber Spin Mop and Bucket Set | Spin Mop for Floor Cleaning | 13 LTR | Long Handle Extendable Stainless Steel | 360° Rotating Mop with Easy Wringer | Wet and Dry Rotating Mop - By BEST HOUSE,0,0,0,0.0,False,Dust Mops
FAM05-002,Ltr Heavy Mop,1,family_group,Ltr Heavy Mop,,,,,,,,
FAM05-003,Deluxe Large Angle,1,family_group,Deluxe Large Angle,B0FHGPY2GG,"OMIVIER Large Dog Bed with Low-Angle Soft Pillow, Deluxe Fabric Comfortable and Soft, with Non-Slip Bottom, Washable Pet Bed for Crate, XL, Color: Grey",156707,0,2,0.0,False,Beds
FAM05-004,Deluxe Jumbo Angle,1,family_group,Deluxe Jumbo Angle,,,,,,,,
FAM05-005,Multi Purpose Squeegee,1,family_group,Multi Purpose Squeegee,B00IJYJKRI,"Kohler K-6379-0 Kitchen Sink Squeegee and Countertop Brush, Multi-Purpose, Cleans Wet and Dry Spills, Dishwasher Safe, White",27670,3000,38,85.2,True,Squeegees
FAM05-006,Good Grip Dustpan,1,family_group,Good Grip Dustpan,B08H4Z1HX1,"TIVIT UP Broom Holder Dustpan - Good Comfort Grip Snap-on Dustpan for Small Hand Brush, Indoor or Outdoor, Rubber Lip, Lightweight, 13 in",1167320,0,0,0.0,False,Dustpans
FAM05-007,AA AA Long,1,family_group,AA AA Long,B0035LCFNQ,"Duracell Coppertop AA Batteries, 24 Count, 12-Year Shelf Life, Long-lasting",150,40000,130,89.8,True,AA
FAM05-008,Long Handle Dustpan,1,family_group,Long Handle Dustpan,B09LTY6RR3,"kelamayi Upgrade Broom and Dustpan Set, Large Size and with Long Handle, Upright,Ideal for Indoor Outdoor Garage Kitchen Room Office Lobby Use (Green)",306,10000,12,56.5,False,Dustpans
FAM05-009,Straight Broom Dustpan,1,family_group,Straight Broom Dustpan,,,,,,,,
FAM05-010,Jumbo Squeegee Sponge,1,family_group,Jumbo Squeegee Sponge,,,,,,,,
FAM05-011,Duster Telescopic Handle,1,family_group,Duster Telescopic Handle,B0GYPBY7H7,"Tiumso Duster with Extension Pole 100 inch Extendable Reusable Dusters for Cleaning 5-in-1 Anti-Spin Dusting Kits for High Ceiling Fans, Cobwebs & Vents, Reinforced Stainless Steel Telescopic Handle",6332,100,1,0.0,False,Feather Dusters
FAM05-012,Microfiber Window Squeegee,1,family_group,Microfiber Window Squeegee,B094ZL6B28,Wontolf 62'' Car Wash Brush with Long Handle Chenille Microfiber Car Wash Mop Mitt Kit Car Detailing Brush Cleaning Kit Window Squeegee Car Duster Drying Towels Tire Brush for Cars RV Truck Boat,2845,1000,3,0.0,False,Brushes & Dusters
FAM05-013,Two Tone Angle,1,family_group,Two Tone Angle,B0H9QQ9BXF,14K Two Tone Gold Diamond-Cut Starburst Halo Stud Earrings,1862769,0,0,0.0,False,Stud
FAM05-014,Broom Small Dustpan,1,family_group,Broom Small Dustpan,B0GDWX7J5W,"NACENA Mini Broom and Dustpan Set, Small Dust Pan and Brush Set, Green",819,0,1,0.0,False,Dustpans
FAM05-015,Angle Grey Broom,1,family_group,Angle Grey Broom,B0DWHRV3N7,"NACENA Heavy Duty Broom, 55 Inch Long Handle Outdoor Large Angle Brooms, Commercial Broom for Sweeping Indoor, for Home Garage Kitchen Office Courtyard Lobby Patio Lawn Concrete, 2 Pack (Grey&White)",7929,200,1,0.0,False,Angle Brooms
FAM05-016,Lobby Broom Dustpan,1,family_group,Lobby Broom Dustpan,B09LTY6RR3,"kelamayi Upgrade Broom and Dustpan Set, Large Size and with Long Handle, Upright,Ideal for Indoor Outdoor Garage Kitchen Room Office Lobby Use (Green)",306,10000,12,56.5,False,Dustpans
FAM05-017,AA Lobby Set,1,family_group,AA Lobby Set,,,,,,,,
FAM05-018,Broom Soft Bristles,1,family_group,Broom Soft Bristles,B08SW2DLH1,"Hand Broom Cleaning Brushes-Soft Bristles Dusting Brush for Cleaning Car/Bed/Couch/Draft/Garden/Furniture/Clothes,Wooden Handle",24321,1000,2,0.0,False,Hand Brooms
FAM05-019,Long Hanlde Broom,1,family_group,Long Hanlde Broom,,,,,,,,
FAM05-020,Angle Broom Soft,1,family_group,Angle Broom Soft,B0D7VGZ8D8,"Soft Bristle Indoor Broom, Angle Kitchen Broom for Hardwood Floor Cleaning",34267,600,3,0.0,False,Angle Brooms
FAM05-021,AA Microfiber Cotton,1,family_group,AA Microfiber Cotton,B0CDBWD7DY,"Absorbent Bath Towels, Large Microfiber Cotton Beach Towel, Quick Dry Towel Sand Proof Bathroom Blanket For Women Men Adults Kids, Beach Accessories For Travel Bathroom Pool, Birthday Gifts (AA White)",0,0,0,0.0,False,Bath Towels
FAM05-022,Toilet Brush Set,1,family_group,Toilet Brush Set,B0CNRGXJWL,"FORASTO 2in1 Toilet Brush & Plunger Set, Bathroom Essentials for Apartment",293,2000,5,0.0,False,Bathroom Accessory Sets
FAM05-023,AA AA AA,1,family_group,AA AA AA,B0B81NGMMR,"Amazon Basics AA High-Performance Alkaline Batteries, 500 Count, 10-Year Shelf Life, Long-Lasting Power for Household and Office Devices, Leakproof Design",2,800,3,97.2,True,AA
FAM05-024,Dustpan Bottle Brush,1,family_group,Dustpan Bottle Brush,B0GX9KMDLH,STILLCOVE 2-Tier Rabbit Cage: Small Animal Pets Enclosure with Water Bottle,102967,0,1,0.0,False,Cages
FAM05-025,Sponge Dish Brush,1,family_group,Sponge Dish Brush,B0CJ4V4HQ8,"Cisily Sink Caddy Sponge Holder for Kitchen, 304 Stainless Steel Rustproof, Kitchen Sink Caddy with High Brush Holder, Dish Sponge Organizer with Divider(Silver)",213,1000,5,0.0,False,Kitchen Storage & Organization Accessories
FAM05-026,AA Gap Brush,1,family_group,AA Gap Brush,,,,,,,,
FAM05-027,Sponge Brush Hand,1,family_group,Sponge Brush Hand,B0BSVCMBBR,"U.S. Pool Supply Hand-Held Pool Scrub Brush Pad 2 Pack, Scrubbing Scouring",3139,1000,1,0.0,False,Pool Brushes
FAM05-028,Dustpan Brush Set,1,family_group,Dustpan Brush Set,B0GDWX7J5W,"NACENA Mini Broom and Dustpan Set, Small Dust Pan and Brush Set, Green",819,0,1,0.0,False,Dustpans
FAM05-029,AA Toilet Plunger,1,family_group,AA Toilet Plunger,,,,,,,,
FAM05-030,Spin Mop Star,1,family_group,Spin Mop Star,B0BX9G312N,"Star Maktion 4 Pack Spin Mop Replacement Head, 1 Base, 4-Section Mop Handle 30-58in, Compatible with O Cedar EasyWring 1-Tank System Triangle Spin Mop, Combo Set of Mop Refills for Floor Cleaning",984943,0,2,0.0,False,Replacement Heads
FAM05-031,SMOORB AA Spin,1,family_group,SMOORB AA Spin,,,,,,,,
FAM05-032,Microfiber Mop Head,1,family_group,Microfiber Mop Head,B0F6D12CC3,"YUAKOU 4-Pack Mop Replacement Heads For Ocedar Mop Replace Head EasyWrin Spin Mop Heads Replacements, White Microfiber, Floor, Wall",214,9000,3,0.0,False,Replacement Mop Heads
FAM05-033,SS Spray Mop,1,family_group,SS Spray Mop,,,,,,,,
FAM05-034,Broom Dustpan Set,1,family_group,Broom Dustpan Set,B09SYYRBVP,"kelamayi Upgrade Broom and Dustpan Set, Self-Cleaning with Dustpan Teeth, Indoor&Outdoor Sweeping, Ideal for Dog Cat Pets Home Use, Stand Up Broom and Dustpan (Gray&Orange)",301,30000,12,96.9,False,Dustpans
FAM05-035,Dish Rack Drainer,1,family_group,Dish Rack Drainer,B0GK8N1BJV,"Kitsure Kitchen Dish Drainer - Compact Space Saving Drainer Stainless Steel Dish Drying Rack with Cutlery Holder, 29 x 38 x 12.7 cm, White",93,0,0,0.0,False,Dish Racks
FAM05-036,Dustpan Brush Green,1,family_group,Dustpan Brush Green,B0GDWX7J5W,"NACENA Mini Broom and Dustpan Set, Small Dust Pan and Brush Set, Green",819,0,1,0.0,False,Dustpans
FAM05-037,Scrub Brush Green,1,family_group,Scrub Brush Green,B088NFBS3B,"Holikme 7 Pack Cleaning Brush Scrub Brush Kitchen Brush for Floor,Green",695,5000,15,0.0,False,Cleaning Tools
FAM05-038,Dish Brush Green,1,family_group,Dish Brush Green,B08P2V5C5Q,"Holikme 6 Pack Dish Brush Set with Handle for Cleaning, Green",1655,3000,10,0.0,False,Wheel Brushes
FAM05-039,BROOMS Dish Brush,1,family_group,BROOMS Dish Brush,B09Q29QP7T,Sorghum Whisk Brooms Dish Wok Brush Cleaner for Staniless Steel Cast Iron Pan Kitchen Natural Accessories for Carbon Pot Bamboo Alternative - Small Chinese Straw Hand Dust Tool,0,0,1,0.0,False,Brushes
FAM05-040,Bottle Brush Green,1,family_group,Bottle Brush Green,B0D9Y4XY7R,"Momcozy Baby Bottle Brush Kit, Push-Press Foam Design, Green",97,8000,2,0.0,False,Bottle Brushes
FAM05-041,BRUSHES Streight Broom,1,family_group,BRUSHES Streight Broom,,,,,,,,
FAM05-042,Light Duty Sparkling,1,family_group,Light Duty Sparkling,B0CGTXC643,Swono Rectangle Tablecloth Merry Christmas Table Cover 52x70 Inch Sparkling Golden Light Christmas Heavy Duty Table Cloth for Rectangle Tables Decorative Tablecloth for Dining Party Camping BBQ,83966,0,1,0.0,False,Tablecloths
FAM05-043,Big Scouring Pads,1,family_group,Big Scouring Pads,B00NWXKJ08,"Big Boss II V890116 Non-Scratch Scouring Pads, 3 1/2 x 5 1/2",854935,0,1,0.0,False,Scouring Pads & Sticks
FAM05-044,Xtra Types Scrubbing,1,family_group,Xtra Types Scrubbing,B07DPS91S2,"Church & Dwight Co, Xtra Scrubbing Sponges. Assorted 3 Types (5.12"" x 3.5"" x 0.67"" each), 2 Packs",0,0,2,0.0,False,Sponges
FAM05-045,Stainles Steel Pads,1,family_group,Stainles Steel Pads,B0FVMC5Z1P,Car Pedal Pads for Land for Rover for Discovery for Sport L550 2014~2024 Stainles Steel Pad Acessorie Car Brake Rest Accelerator Cover No Drilling Gas Foot Car Pedal Cover(4 PCS),0,0,0,0.0,False,Body
FAM05-046,Profesional Grooved Sponge,1,family_group,Profesional Grooved Sponge,,,,,,,,
FAM05-047,Xtra Cellulose Spong,1,family_group,Xtra Cellulose Spong,,,,,,,,
FAM05-048,Abrasive Sponge Scrubbers,1,family_group,Abrasive Sponge Scrubbers,B0H7SXZ41X,"Fox Run Woodland Animal Sponge Set, Non-Abrasive Fox, Owl & Bear Scrubbers",162366,0,1,100.0,True,Sponges
FAM05-049,Xtra Scrubbing Sponges,2,family_group,Xtra Scrubbing Sponges,B07PJQ7YC9,Xtra Scrubbing Sponges - Heavy Duty - Extra Thick 6PC's (3 Pack),708299,0,5,0.0,False,Sponges
