UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
808124113763,B0CGSKJ2HV,Mrs meyers large soy candle iowa pine 7.2oz,FBA,3.5,51.99,7.8,8.56,31.63,60.8,790.8,0,329372,False,marginal
085081455765,B0GDPBQXFX,Gibson home bow wow meow 3pc elevated pet...,FBA,4.0,39.16,5.87,3.5,25.29,64.6,561.9,0,0,False,marginal
810028059931,B0D6NS5RHF,"Nhl florida panthers lava lamp speaker 16.5""",FBA,9.0,39.99,6.0,7.46,17.03,42.6,179.3,0,588935,False,marginal
042409684016,B0B2PJRXTW,Spybots cybernetic security robot toy,FBA,5.0,32.98,4.95,5.76,16.77,50.9,305.0,0,690116,False,marginal
042409222164,B07MX4BM4W,Smithsonian wave machine,FBA,7.0,34.99,5.25,7.3,14.94,42.7,199.2,0,363514,False,marginal
740275302446,B0DB2N9Z51,Snuggie 2 in 1 pillow & snack tray flamin...,FBA,3.5,29.96,4.49,7.89,13.58,45.3,339.4,0,224268,False,marginal
4895145419567,B07FFZJNPL,Puzzle collector 1000 assortment,FBA,2.5,24.98,3.75,5.22,13.01,52.1,433.8,0,798077,True,skip
042409669112,B0BCC58DMX,Boneless motorized skater ryan,FBA,1.2,21.97,3.3,4.35,12.62,57.5,742.6,0,69353,False,marginal
085081475930,B08DS5TWFN,12pc gibson home dinnerware set - cermic ...,FBA,11.0,39.99,6.0,10.19,12.3,30.8,107.0,0,1534326,False,marginal
025725504046,B07G3K2Z95,Franklin future champs inflatable boxing ...,FBA,7.0,29.99,4.5,6.34,11.65,38.9,155.4,0,365048,True,skip
017800100489,B0BV14SFSC,Purina puppy chow tender beef dog food 4l...,FBA,1.8,23.7,3.56,7.63,10.21,43.1,444.1,50,78536,False,marginal
042409119334,B0DB99PFMN,Siren blink dart blaster,FBA,15.0,45.0,6.75,12.75,10.0,22.2,64.5,0,109417,True,skip
085081509505,B0C8MW6WLZ,Gibson home stainless steel knife set 14p...,FBA,16.0,39.99,6.0,7.63,9.86,24.7,59.8,0,1389264,False,marginal
808124120471,B0D5CGM4LM,Mrs meyers premium candle wild mint 14oz us,FBA,5.5,25.74,3.86,6.02,9.86,38.3,164.3,0,235518,True,skip
736658487466,B0C2PXFK2R,Wet brush detangler digital daydream purp...,FBA,3.0,19.98,3.0,4.09,9.39,47.0,268.4,0,161175,False,marginal
672649290199,B083TJ1K5H,Losing my mind mug 13.5oz,FBA,1.0,18.94,2.84,5.61,8.99,47.5,599.3,0,2387365,False,marginal
736396054005,B00XEL17D6,Mini round quiddler card game,FBA,0.25,14.99,2.25,3.86,8.13,54.2,1084.2,0,580914,False,marginal
197981001048,B0F7W1DL5B,Sp pest2025 off adults & kids aerosol & l...,FBA,8.25,25.99,3.9,6.53,6.81,26.2,77.8,0,365006,False,marginal
723459087063,B09LCTX74L,Tangle jr classic (blistercard w/ 12pc. p...,FBA,1.1,13.99,2.1,4.09,6.2,44.3,387.6,0,69490,False,marginal
630509611522,B071G9366Q,"Marvel: titan hero series power fx - 12"" ...",FBA,5.0,20.85,3.13,6.02,6.2,29.7,112.8,0,130402,False,marginal
074660538562,B0GCWSTFT1,Sp hybrid solutions lens coat fill & seal...,FBA,7.0,19.9,2.98,3.5,5.91,29.7,78.9,0,0,False,marginal
736658538007,B09RG856FM,Wet brush mini detangler free spirit ocea...,FBA,2.25,14.64,2.2,4.09,5.6,38.3,203.8,0,499830,False,marginal
672649220875,B07CL1YFNJ,Love is love mug 18oz,FBA,1.5,12.99,1.95,3.54,5.5,42.4,275.1,0,0,False,marginal
053941124618,B0CYZZW93V,.halo master chief helmet mega plush toy ...,FBA,4.5,21.51,3.23,8.29,4.99,23.2,99.9,0,73642,False,marginal
070896492517,B07GDDQFDY,Wilton cookie grippy skull 1pc ni,FBA,0.05,9.99,1.5,3.01,4.93,49.4,896.6,0,1454443,False,marginal
9781645176831,1645176835,Adventures of a zombie: an unofficial min...,FBA,0.35,9.99,1.5,2.75,4.89,49.0,575.5,0,881190,False,marginal
071444198981,B0752XBXTG,"Qualatex 11"" round party balloons ast 6ct...",FBA,0.5,10.94,1.64,3.44,4.86,44.4,485.9,0,0,False,marginal
784369528442,B0H8FGSP1B,"Multipet that sneaky cat dog toy - 7.5""",FBA,1.5,11.99,1.8,3.5,4.69,39.1,234.6,0,0,False,marginal
012800541430,B0FVNWQX2M,"Rayovac t2000 tactical led flashlights, 4...",FBA,8.0,20.01,3.0,4.35,4.16,20.8,48.9,0,138596,True,skip
784369806434,B0H8FSKD1G,"Fuzzu teacup fluffs asst (chipmunk, bunny...",FBA,0.5,9.99,1.5,3.5,3.99,40.0,399.2,0,0,False,marginal
9781645174431,1645174433,Batman word search and coloring book 120pg,FBA,0.6,8.99,1.35,2.75,3.79,42.2,344.7,0,292219,False,marginal
050000172962,B07J4Q18Z9,Purina friskies lil soups salmon tuna var...,FBA,5.0,17.99,2.7,6.13,3.66,20.4,66.6,100,33605,False,buy
9781645178798,164517879X,Adventures of an ender dragon: an unoffic...,FBA,0.35,7.99,1.2,2.52,3.42,42.8,402.5,0,253611,True,skip
736658569865,B08PC7VPPW,Wet brush stellar skies mini detangler ro...,FBA,2.25,12.0,1.8,4.09,3.36,28.0,122.2,0,432811,False,marginal
883975189723,B0FXNXX1H3,"Disney lilo & stitch 8"" plush elvis stitc...",FBA,3.0,15.64,2.35,6.48,3.31,21.2,94.7,0,167381,False,marginal
672649292629,B083TJVZC1,My partner wine glass 16oz,FBA,1.0,11.99,1.8,5.61,3.08,25.7,205.4,0,0,False,marginal
039938416805,B06WLLJC24,"Happi jungle party banner-""welcome baby""-...",FBA,0.25,7.6,1.14,2.65,3.06,40.3,408.0,0,0,False,marginal
093514077149,B0C323437J,Things... schitt's creek edition party ca...,FBA,0.6,9.96,1.49,4.37,3.0,30.1,272.4,0,864493,False,marginal
052100058061,B0F4Z5NG7G,Mccormick red & green pepper blend 2.82 o...,FBA,0.75,8.49,1.27,3.01,2.96,34.8,236.5,50,57537,False,buy
630509281169,B01JK1XDZS,"Marvel: titan hero tech - 12"" iron man ma...",FBA,5.0,14.99,2.25,4.35,2.89,19.3,52.6,50,98525,False,marginal
194735308453,B0DL6K24TY,Barbie miniland doll & vehicle pack,FBA,1.2,8.99,1.35,3.24,2.7,30.1,158.9,0,577924,False,marginal
