UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
746427873949,B0CGB17VB3,"Sparkle pine cone stem 30""l",FBM,3.5,99.99,15.0,5.0,76.49,76.5,2185.5,0,10672640,False,marginal
085081455772,B0GDNKNGRW,Gibson home bow wow meow 3pc elevated pet...,FBM,4.0,45.12,6.77,5.0,29.35,65.1,733.8,0,0,False,marginal
085081455758,B0GDNP68NZ,Gibson home bow wow meow 3pc elevated pet...,FBM,4.0,41.67,6.25,5.0,26.42,63.4,660.5,0,0,False,marginal
082269003756,B002M8ONF6,Reynera jumbo cotton mop,FBM,3.75,36.34,5.45,7.0,20.14,55.4,537.0,0,688143,False,marginal
085081764126,B0059MFSFG,4pk gibson ss teaspoons ni,FBM,0.7,30.2,4.53,7.0,17.97,59.5,2567.1,0,0,False,marginal
043194162673,B01IAEGEG6,Conair jaw clips 3ct ni,FBM,0.65,22.9,3.44,5.0,13.81,60.3,2125.4,0,0,False,marginal
025725218981,B004C1DWBW,"Nhl franklin 1010 street tech jr 52"" hock...",FBM,6.25,30.7,4.61,7.0,12.84,41.8,205.5,0,57577,False,marginal
016751978611,B088ZL4JB7,Razor adult helmet satin avocado,FBM,4.0,23.99,3.6,5.0,11.39,47.5,284.8,0,475633,False,marginal
723459010313,B07NVQHN9V,Tangle palm classic (triangle box in 14 u...,FBM,1.5,20.0,3.0,5.0,10.5,52.5,700.0,0,671447,False,marginal
850014381356,B09XN51SHJ,Astv wave rack retractable clothes hanger ni,FBM,1.5,19.99,3.0,5.0,10.49,52.5,699.4,0,5174457,False,marginal
093514074858,B086XLSHKJ,Playmonster trailz intro strategy game 2 ...,FBM,0.75,19.99,3.0,7.0,9.24,46.2,1232.2,0,528934,False,marginal
017000315645,B0BYJ3ZMRD,Sp schwarzkopf color boost (golden) 1oz,FBM,1.2,17.95,2.69,5.0,9.06,50.5,754.8,0,265048,False,marginal
738215549334,B0BJ36MYN9,18''x28'' set of 2 dishtowels - jolly,FBM,1.65,18.45,2.77,5.0,9.03,49.0,547.4,0,0,False,marginal
022494187746,B004V89SCS,Wine bottle stopper - mini wine bucket,FBM,1.15,16.98,2.55,5.0,8.28,48.8,720.3,0,677054,False,marginal
025725550401,B0C545Q2HH,"Nhl franklin 1040 power fused 56"" hockey ...",FBM,6.5,24.99,3.75,7.0,7.74,31.0,119.1,0,42198,True,skip
810135160025,B0CXX5GM3W,Tranquilty gift kit - earth - ground. gro...,FBM,0.6,14.99,2.25,5.0,7.14,47.6,1190.3,0,424808,False,marginal
085081587183,B0DHT1TSL1,Gibson home 3pc baking pan set ni,FBM,8.5,29.5,4.42,9.5,7.07,24.0,83.2,0,401139,False,marginal
022494111093,B0CMYY4PMM,Stand up spreader knife,FBM,0.75,14.79,2.22,5.0,6.82,46.1,909.5,0,1415367,False,marginal
093514068925,B07R2XRH9L,Meltdown family game,FBM,1.5,14.66,2.2,5.0,5.96,40.7,397.4,0,241816,False,marginal
810135160001,B0CXXMPS82,Tranquilty gift kit - fire - spark. burn....,FBM,0.6,14.99,2.25,7.0,5.14,34.3,856.9,0,312576,False,marginal
071169394071,B00BHI2IIG,Paas marble egg decorating kit shelf tray,FBM,1.0,12.88,1.93,5.0,4.95,38.4,494.8,0,30112,False,marginal
