UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
074312060113,B0BMVG9Z5P,,FBM,0.21,49.99,,12.50,37.29,74.6,18073.3,,19615,False,marginal
019045053834,B00OQJVVEK,,FBM,0.35,28.00,,11.20,16.45,58.7,4643.1,,56859,False,buy
030772121160,B0CQ3D4VJ2,,FBM,3.00,32.50,,14.38,15.12,46.5,504.2,,52,False,buy
030772047675,B0C4M9LFL7,,FBM,0.61,21.80,,10.27,10.92,50.1,1795.4,,137954,False,buy
037000009948,B0747YGSFS,,FBM,3.12,23.85,,10.58,10.15,42.5,324.7,,652,False,buy
037000956631,B01DD9UQJO,,FBM,1.81,24.48,,13.17,9.50,38.8,523.9,,148617,False,buy
024200044879,B0F6LYJN4Z,,FBM,0.92,19.99,,10.00,9.07,45.4,989.9,,104736,False,buy
017800100489,B0BV14SFSC,,FBM,1.80,23.70,,13.06,8.84,37.3,491.4,,95078,False,buy
033200186601,B00LO2XXGG,,FBM,0.23,18.68,,9.80,8.65,46.3,3773.5,,66707,False,buy
885837015980,B07HYM5QX1,,FBM,4.00,22.56,,10.38,8.18,36.2,204.4,,64782,True,skip
037000827634,B01IADXNHU,,FBM,0.81,21.50,,12.73,7.96,37.0,980.0,,28471,False,buy
062338032931,B0BC2J9T8S,,FBM,1.17,18.90,,9.83,7.90,41.8,677.0,,3147,False,buy
037000890287,B01KL1D6CQ,,FBM,1.31,16.26,,7.44,7.51,46.2,574.2,,1353,False,buy
062338010656,B0DPJBC82M,,FBM,1.50,16.19,,7.43,7.26,44.9,484.1,,85878,False,buy
062338010649,B0DPJB4D64,,FBM,1.50,16.15,,7.42,7.23,44.8,481.8,,20448,False,buy
062338001456,B0CN7CWRPB,,FBM,1.50,15.99,,7.40,7.09,44.3,472.8,,10873,False,buy
030772225752,B0F8JLT17R,,FBM,1.38,17.90,,9.69,6.84,38.2,497.5,,2015,False,buy
197981000171,B0G5W4ZLTL,,FBM,11.50,29.77,,11.47,6.80,22.9,59.2,,89551,False,buy
033200197447,B001E723SA,,FBM,0.21,16.45,,9.47,6.77,41.2,3252.1,,40986,False,marginal
630509281169,B00ND5ZJ00,,FBM,5.00,19.45,,7.92,6.53,33.6,130.6,,150779,False,marginal
8720077283237,B0BTXQ8LFR,,FBM,3.50,19.89,,9.98,6.41,32.2,183.0,,38195,False,buy
4895145436151,B0BJ9L7VHH,,FBM,2.50,18.28,,9.74,6.04,33.0,241.5,,89636,True,skip
850021340544,B09X9WK4B2,,FBM,1.80,14.99,,7.25,5.94,39.6,330.1,,123540,False,buy
037000945970,B0DRPJK8MP,,FBM,0.10,15.27,,9.29,5.88,38.5,6007.8,,36935,False,buy
