UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
0857198107536,B0058VTDHM,HB 5PC SET/LG/XL/SUITCASE Pkg: COLOR GIFT BOX,FBA,0.5833,35.47,5.32,5.61,23.46,66.1,2165.3,0,0,False,marginal
0886466441539,B00PG6M5BK,CS47190,FBA,10.0,44.99,6.75,9.62,18.12,40.3,172.6,0,46950,False,marginal
0886466372604,B08XMZVFYZ,OIL & VINEGAR BOTTLE BOTTLES PDQ DISPLAY,FBA,0.0833,24.48,3.67,3.24,16.98,69.4,2911.8,0,0,False,marginal
0857198108632,B0058VT8YU,MINI GLASS JAR PDQ DISPLAY (6),FBA,0.0625,23.62,3.54,4.35,15.16,64.2,2695.9,0,426412,False,marginal
0886466441546,B00PG6M58I,4PC CERAMIC CANISTER SET W/SPOON,FBA,10.0,39.99,6.0,9.62,13.87,34.7,132.1,0,46851,False,marginal
0857198108663,B0058VU42U,OIL & VINEGAR BOTTLE PDQ DISPLAY,FBA,0.0312,22.12,3.32,4.76,13.51,61.1,2543.4,0,0,False,marginal
0857198010140,B004RF1UJO,BH39222,FBA,1.0,29.99,4.5,10.9,13.09,43.7,872.8,0,2063389,False,marginal
0886466477026,B07X2ZNZFF,SC47703,FBA,0.5,22.47,3.37,5.61,12.49,55.6,1249.0,0,0,False,marginal
0886466499158,B01N5MRI2P,SB49915,FBA,0.4167,19.99,3.0,5.22,10.85,54.3,1184.1,0,6680947,False,marginal
0886466371522,B09HR739G6,SC37153,FBA,0.4167,19.99,3.0,5.76,10.31,51.6,1125.2,0,302546,False,marginal
0886466371539,B09HR57RRT,SC37154,FBA,0.5417,16.73,2.51,6.13,7.05,42.1,676.7,0,302546,False,marginal
0886466443106,B0761W7JYW,OV39859,FBA,4.0,17.99,2.7,5.66,5.13,28.5,114.0,0,498924,False,marginal
0886466490599,B00QXGT7FY,COSMETIC ORGANIZER LARGE,FBA,3.0,14.53,2.18,4.35,4.5,31.0,128.6,0,0,False,marginal
0886466441553,B00PG6M5CE,CS44153,FBA,20.0,39.99,6.0,9.28,4.21,10.5,20.5,0,46951,False,marginal
0886466011398,B00M34O19C,ESSENCE 2PC SALT SET BEEHIVE COLOR GIFT BOX,FBA,3.0,12.97,1.95,4.09,3.43,26.5,98.1,0,397890,False,marginal
0886466491466,B00VTTZ4Y8,PB49149,FBA,6.0,20.99,3.15,8.21,3.13,14.9,48.2,0,1499173,False,marginal
0886466352217,B08LJN5YG1,MH45986,FBA,0.25,8.48,1.27,3.5,2.96,34.9,394.4,0,1781957,True,skip
0886466478412,B07HKPBM9Y,DOUBLE CEREAL DISPENSER COLOR GIFT BOX,FBA,2.0,15.03,2.25,7.73,2.55,16.9,101.8,0,331500,False,marginal
0886466493347,B01LDHB5ES,PB49335,FBA,6.0,19.99,3.0,8.79,1.7,8.5,26.2,0,3853435,False,marginal
0886466446107,B01L7Q05BY,OV44310,FBA,5.0,12.99,1.95,4.76,0.78,6.0,14.2,0,148329,False,marginal
0886466493354,B01LDHB5IO,PB49336,FBA,1.6667,12.43,1.86,8.37,0.03,0.2,1.3,0,2717604,True,skip
0886466491497,B00VTTZC90,WOVEN STRAP BIN GREY XLRG GREY MED HANG TAG,FBA,1.3333,11.99,1.8,8.62,-0.26,-2.2,-14.3,0,4598142,True,skip
0886466370907,B08FTYTD9R,SP10860,FBA,0.0417,0.0,0.3,3.24,-4.08,0.0,-753.5,0,0,False,skip
0886466493330,B01LDHB5DE,PB49334,FBA,5.0,8.61,1.29,6.05,-4.23,-49.1,-76.9,0,2717604,True,skip
0886466015471,B0B9HGNGZ7,SP37090,FBA,0.026,0.0,0.3,3.5,-4.33,0.0,-822.4,0,0,False,skip
0886466019752,B00OA4GRI6,COTTON SWAB HOLDER WRAP BAND,FBA,0.1667,0.0,0.3,3.5,-4.47,0.0,-670.0,0,0,False,skip
0886466495211,B01N4Q9KK6,COSMETIC ORGANIZER WRAP BAND,FBA,0.2083,0.0,0.3,3.91,-4.92,0.0,-694.4,0,1295636,False,skip
0886466011367,B00ANKDQGM,1.5L GLASS PITCHER GLASS COLOR LABEL INSERT,FBA,0.4167,0.0,0.3,5.18,-6.4,0.0,-697.8,0,0,False,skip
0886466477064,B07X5CH8KC,SC37384,FBA,0.25,0.0,0.3,5.5,-6.55,0.0,-873.3,0,0,False,skip
0886466477989,B07XZF2V4Y,CS49882,FBA,0.4167,0.0,0.3,5.61,-6.83,0.0,-744.7,0,0,False,skip
0886466371133,B0FQ2Q1XN6,SC39843,FBA,3.0,0.0,0.3,3.5,-7.3,0.0,-208.6,0,0,False,skip
0886466476548,B07F1XXQ8D,SC45835,FBA,0.5,0.0,0.3,6.48,-7.78,0.0,-778.0,0,0,False,skip
0886466371515,B0B7C83QPH,SC37152,FBA,4.0,0.0,0.3,3.5,-8.3,0.0,-184.4,0,1316392,False,skip
0886466015464,B01JVXYHJG,OV37260,FBA,2.0,0.0,0.3,5.61,-8.41,0.0,-336.4,0,0,False,skip
0886466443694,B01JVXY9EY,GLASS DECANTER BULK,FBA,2.0,0.0,0.3,6.05,-8.85,0.0,-354.0,0,0,False,skip
0886466413956,B07F8YVB7L,JB01975,FBA,0.2083,0.0,0.3,7.88,-8.89,0.0,-1254.9,0,0,False,skip
0886466352293,B0CFW18X5K,MB49059,FBA,3.0,0.0,0.3,5.61,-9.41,0.0,-268.9,0,0,False,skip
0886466019714,B00PIW5PPU,MH35229,FBA,5.0,0.0,0.3,4.35,-10.15,0.0,-184.5,0,1872110,False,skip
0886466396334,B0B7K3LQB4,15LT STORAGE BOX COLOR LABEL,FBA,0.75,0.0,0.3,8.7,-10.25,0.0,-820.0,0,5878828,False,skip
0886466306227,B00RDK1B1C,OTC HAIRDRYER ORGANIZER HEADER CARD,FBA,1.3333,0.0,0.3,8.62,-10.75,0.0,-586.6,0,1168602,False,skip
0886466491435,B00VTTZ4VG,PB49146,FBA,5.0,0.0,0.3,5.28,-11.08,0.0,-201.5,0,4598142,False,skip
