UPC,ASIN,Sell,Cost,Fees,Profit,Margin%,ROI%,BSR,AmzBB,Verdict
305212345001,B01IA9DW7U,70.25,4.25,24.75,40.75,58.0,857.9,316342,False,marginal
309978695707,B01IA9BECA,59.95,2.15,17.05,40.25,67.1,1518.8,472389,False,marginal
352688195739,B01IADYQNA,53.50,5.96,16.51,30.54,57.1,472.7,797273,False,marginal
309978695325,B00A5ZK7IU,43.51,2.15,14.57,26.29,60.4,992.2,176691,False,marginal
035000393753,B017II5CPY,37.00,2.65,9.90,23.95,64.7,760.3,560019,False,marginal
060258364569,B0CK61GK7Q,57.99,18.50,16.46,22.53,38.9,118.6,2164080,False,marginal
037000426882,B000T9TI6O,36.99,1.00,13.26,22.23,60.1,1482.1,1067797,False,marginal
075609206573,B0BTGW9B81,42.99,6.50,14.33,21.66,50.4,309.4,61981,False,buy
4000388177000,B07H33D21P,30.00,1.35,8.85,19.30,64.3,1043.2,0,False,marginal
025700243076,B002YX0PO2,35.82,2.50,15.15,17.67,49.3,588.9,929819,False,marginal
037000953340,B085HJ49N5,32.99,4.25,11.26,16.98,51.5,357.5,183840,False,marginal
309978695318,B07H9X4JVJ,29.48,2.15,10.03,16.80,57.0,633.9,1010324,False,marginal
8904256008198,B07VKM2HR5,31.61,4.50,10.35,16.26,51.4,325.2,579986,False,marginal
074182260125,B001GXFPO6,29.49,1.25,12.96,14.78,50.1,844.4,1097934,False,marginal
012587792506,B0BMW7ZRDZ,23.12,0.55,7.33,14.74,63.8,1404.0,968323,False,marginal
309978456575,B01IAE0ERG,27.50,2.15,10.60,14.24,51.8,537.5,8504,False,buy
8886467039997,B00OQQUN1A,31.61,5.75,11.22,14.14,44.7,226.2,154658,True,skip
309978695349,B00M77V9TA,25.99,2.15,10.38,12.96,49.9,489.1,8287,False,marginal
309978695455,B01MG09QER,24.99,2.15,10.06,12.28,49.1,463.5,343611,False,marginal
8710447172087,B07CZMGCYM,25.00,2.40,10.09,12.01,48.0,414.1,79636,False,marginal
