UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
071662052027,B00KOAJNL8,CRAYOLA 8CT WSHBLE DRY ERSE BOLD MK,FBA,2.5,78.78,11.82,4.36,59.6,75.7,1986.8,0,902369,False,marginal
047400313880,B0167K360W,GILLETTE VENUS 3CT 3 BLADE SMTH DX,FBA,4.5,59.38,8.91,3.5,41.97,70.7,839.5,0,0,False,marginal
061328805050,B08GZL6Z3N,SCOTTIES 126SHT 2PLY WHTE FACIAL TS,FBA,1.2,66.05,9.91,16.31,38.13,57.7,2243.1,0,210077,False,marginal
071662078096,B00KOANQD4,CRAYOLA WASH CLASSIC 8CT MARKR FINE,FBA,2.25,43.35,6.5,6.48,27.62,63.7,1004.3,0,202434,False,marginal
047400695252,B0DTJM6TW2,GILLETTE VENUS INTMTE 8 REFL+1 RAZR,FBA,15.0,56.82,8.52,5.76,27.04,47.6,174.4,0,943850,False,marginal
8710908565250,B010OVTTCY,DOVE 4PK 3.17z PINK BAR SOAP,FBA,2.92,32.99,4.95,5.76,18.86,57.2,551.5,0,439610,False,marginal
030772182482,B0FPHVTPXJ,NATIVE 16.5z CD WATRMELON,FBA,5.75,32.99,4.95,5.22,16.57,50.2,265.1,0,325050,False,marginal
815214001008,B06VVQ289Y,SUNAROMA ORGNC 8z SOAP COCONUT OIL,FBA,3.5,31.74,4.76,7.3,15.68,49.4,392.0,50,82283,False,marginal
071662003005,B00QFXFOV6,CRAYOLA 4PC MODELING CLAY,FBA,3.0,35.78,5.37,11.72,15.19,42.5,434.1,0,358387,False,marginal
051125006804,B0BK8K1PPM,POST IT NOTE 24CT 70SHT 3x3 ASSTD,FBA,15.0,40.46,6.07,3.82,15.07,37.2,97.2,0,832032,False,marginal
030772182451,B0F6ZV6Z13,NATIVE 16.5z SH PASSIONFRUIT,FBA,5.75,30.99,4.65,5.22,14.87,48.0,237.9,0,179834,False,marginal
