UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
607869313304,B0D1122SVB,CONTIGO 32z ASHLAND BLUE BOTTLE,FBA,6.0,73.86,11.08,5.49,50.79,68.8,781.4,50,3233,True,skip
305212335002,B01IAI4ZFE,VASELINE VPJ 13oz NURSERY,FBA,4.25,74.99,11.25,10.38,48.61,64.8,1023.4,0,111228,False,marginal
305212345001,B01IA9DW7U,VASELINE JAR VPJ REG 13 OZ,FBA,4.25,72.27,10.84,14.21,42.47,58.8,894.1,0,240510,False,marginal
8886467039997,B00OQQUN1A,VIC 6.8z BODY OIL GEL COCOA RADIANT,FBA,5.75,58.2,8.73,4.36,38.86,66.8,621.8,100,43726,False,buy
352688195739,B01IADYQNA,LEMISOL PLUS 16z ORIGINAL,FBA,5.96,54.42,8.16,8.48,31.32,57.5,484.8,0,818625,False,marginal
037000953340,B085VRCFPY,ALWAYS 15CT FLXFM #1 REG LIGHT CLN,FBA,4.25,47.88,7.18,8.23,27.72,57.9,583.5,0,960501,False,marginal
309978695325,B00A5ZK7IU,COLORSILK 3RB MAHOGANY BROWN,FBA,2.15,41.16,6.17,8.04,24.3,59.0,916.8,0,240525,False,marginal
035000393753,B017II5CPY,SUAVITEL 70CT MRNG SUN DRYER SHTS,FBA,2.65,37.0,5.55,4.35,23.95,64.7,760.3,200,392993,False,marginal
060258364569,B0CK61GK7Q,BRITA DISP 6CUP PTCHR+FLTR LNG LSTG,FBA,18.5,58.81,8.82,7.76,23.23,39.5,122.3,0,2256686,False,marginal
025700243076,B002YX0PO2,ZIPLOC 30CT XL SANDWICH BAGS,FBA,2.5,36.28,5.44,9.78,18.06,49.8,601.9,0,963049,False,marginal
309978695318,B07H9X4JVJ,COLORSILK 3R DARK AUBURN,FBA,2.15,29.63,4.44,5.61,16.93,57.1,638.7,0,764762,False,marginal
607869286363,B092MYPLYX,CONTIGO 24z ASHLAND GRAY BOTTLE,FBA,5.5,31.29,4.69,4.35,16.25,51.9,270.8,0,399233,False,marginal
8904256008198,B07VKM2HR5,NIVEA 600ML BDY LTN BODY MILK W/PMP,FBA,4.5,30.87,4.63,5.61,15.63,50.6,312.6,0,457848,False,marginal
074182260125,B001GXFPO6,SOFTSOAP 7.5oz SOOTHNG CLN ALOE VRA,FBA,1.25,30.29,4.54,8.54,15.46,51.0,883.2,0,1138977,False,marginal
012587792506,B0BMW7ZRDZ,GLAD 8CT QURT FLX & SEAL STORAGE BG,FBA,0.55,23.12,3.47,3.86,14.74,63.8,1404.0,0,1005155,False,marginal
309978695349,B00M77V9TA,COLORSILK 3DB DEEP BURGUNDY,FBA,2.15,26.0,3.9,6.48,12.97,49.9,489.4,0,7374,False,marginal
309978695455,B01MG09QER,COLORSILK 4BR BRIGHT AUBURN,FBA,2.15,24.99,3.75,6.31,12.28,49.1,463.5,0,395272,False,marginal
087300560090,B06Y1QN6N5,NOXZEMA 2z ORG CLASSIC CLNSG CREAM,FBA,1.5,23.53,3.53,6.02,11.98,50.9,599.0,0,6921,False,marginal
030772241882,B0G4L1CGYM,NATIVE 12z DETOX BDY SCRB GUMDROP,FBA,5.0,24.99,3.75,3.86,11.88,47.5,216.0,0,235477,False,marginal
061328801366,B011I8JV1Q,SCOTTIES 6PK TISSUE 126 SHEET 2-PLY,FBA,7.2,31.96,4.79,7.79,11.68,36.5,151.6,50,214515,False,marginal
030772087800,B0CXMQ1DS4,DOWNY 5z SCNT BOOSTR LGHT OCEAN MST,FBA,3.6,22.99,3.45,4.35,11.09,48.2,270.5,0,964043,False,marginal
085805554927,B082PJMF7H,REVLON 8z ELZBTH ARDEN GRN TEA MIST,FBA,5.25,25.98,3.9,5.37,10.96,42.2,190.7,0,1157488,False,marginal
8710447172087,B07CZMGCYM,SIMPLE 25CT CLNSNG WIPE WATER BOOST,FBA,2.4,24.0,3.6,6.76,10.74,44.7,370.3,100,65568,False,buy
073010380103,B003CP13Q0,TAMPAX 20CT UNSCNTD SUPER ABSORB,FBA,4.5,23.88,3.58,5.76,9.54,39.9,190.8,50,27662,False,buy
080196302829,B00KX97H7M,CURAD 80CT PLASTIC NON-STICK BNDGES,FBA,1.65,20.11,3.02,5.61,9.33,46.4,434.1,0,70676,False,marginal
812154035384,B0B2BNBDHD,NATIVE 1.7z FACIAL VIT C SPF30 BRTN,FBA,7.5,24.99,3.75,4.09,9.15,36.6,114.4,0,71271,False,marginal
012587223055,B0BR42FWXJ,GLAD 20CT 13GL FRCE FLX MAX DS CLRX,FBA,3.6,19.99,3.0,4.76,8.13,40.7,198.3,0,117191,False,marginal
4005808801046,B01G8O57FO,NIVEA 150ml CREME TIN,FBA,2.5,18.98,2.85,5.16,7.97,42.0,265.8,0,168002,False,marginal
309976623481,B07122STXT,COLORSILK 4B BURGANDY,FBA,2.15,18.99,2.85,6.23,7.26,38.2,274.0,0,7375,False,marginal
814655030776,B087MZC1SW,FACIQUE 30CT 4PK ASST FACIAL WIPES,FBA,1.8,17.5,2.62,5.61,6.97,39.8,302.8,0,247971,False,marginal
4005900893659,B09NDWL8XK,NIVEA 400ML ENERGZNG MICELLAR WATER,FBA,3.0,17.83,2.67,4.76,6.9,38.7,197.0,0,346664,False,marginal
6001087357050,B00ZGC6C40,VIC 400ML LTN ALOE SOOTHE,FBA,2.4,16.97,2.55,4.76,6.76,39.9,233.3,1000,17192,False,buy
030772033456,B09TWVDWC7,ALWAYS 17CT ULT THN #3 XTRA LNG PAD,FBA,4.25,17.95,2.69,4.35,6.16,34.3,129.6,0,731097,False,marginal
8901030960574,B0H98M9ZN8,DOVE 13.5z LTN PAMPERING CARE,FBA,3.6,17.99,2.7,5.22,5.97,33.2,145.6,0,38445,False,marginal
309976623498,B00M7B4KEW,COLORSILK 49 AUBURN BROWN,FBA,2.15,14.95,2.24,4.76,5.3,35.4,199.9,0,0,False,marginal
037000899099,B072L9RRTW,ALWAYS 14CT SIZE 3 XTRA HVY UNSCNTD,FBA,4.25,17.67,2.65,5.22,5.05,28.6,106.3,0,336834,False,marginal
060258360905,B01JMU4WZ2,BRITA SOHO 5-CUP RED PTCHR+FILTER,FBA,15.5,32.99,4.95,7.01,5.03,15.3,31.4,0,472828,False,marginal
381519186882,B07MCDKV7Z,AUSSIE 5.7z MIRACLE CURLS #2 MED HD,FBA,3.5,15.94,2.39,4.76,4.79,30.0,119.7,0,290770,False,marginal
309976623610,B01IA98Z7M,COLORSILK 6N DARK BLONDE,FBA,2.13,14.25,2.14,4.76,4.72,33.1,179.6,50,7374,False,buy
607869312154,B0CZZZT142,CONTIGO 24z CORTLAND BLUE METAL BTL,FBA,11.0,24.54,3.68,4.76,4.6,18.7,40.0,400,668,False,buy
5000207004981,B001CLR60S,CLEAN & CLEAR 200ML CLNSG LIQ LTN,FBA,2.75,14.74,2.21,4.93,4.35,29.5,133.8,100,79136,False,buy
4015400260837,B00ISYOH5O,ALWAYS 8CT SIZE 3 CLASSIC NGHT WING,FBA,1.5,14.0,2.1,5.61,4.29,30.6,214.5,0,320652,False,marginal
075609211560,B0D7WXFGKF,OLAY 18z LTN GLOW W/ROSE WATER,FBA,6.0,18.98,2.85,5.61,4.02,21.2,61.9,200,10881,False,buy
024200038137,B07KQKSRFC,PUREX CRYSTAL 21z BOOSTR FRESH,FBA,3.5,15.99,2.4,5.61,3.98,24.9,99.5,0,356597,False,marginal
814655027868,B07N64PLTK,SPA 30CT 4PK ASST FACIAL WIPES,FBA,1.8,13.99,2.1,5.61,3.98,28.5,173.1,2000,10704,False,buy
037000426899,B01IAI8JA6,ALWAYS 20CT THIN LINERS CLEAN SCENT,FBA,1.0,11.38,1.71,4.35,3.82,33.6,254.9,200,84115,False,buy
072140801014,B01IADW1T6,NIVEA 1z CREME PDQ DISPLAY,FBA,0.75,9.88,1.48,3.5,3.65,36.9,291.8,50,4319,False,buy
309978695462,B00M89Z66E,COLORSILK 4GM MED GLD MHGNY BRWN,FBA,2.15,12.97,1.95,4.76,3.61,27.9,136.4,0,7374,False,marginal
309978695417,B00JPCKLEO,COLORSILK 4N MEDIUM BROWN,FBA,2.15,12.95,1.94,4.76,3.6,27.8,135.8,0,7374,False,marginal
301490001868,B08MH6GVQ4,PEPTO BISMOL 3.4z TRAVEL SIZE W/CUP,FBA,1.97,11.5,1.73,4.09,3.22,28.0,130.2,0,347073,False,marginal
010900000406,B01MSBY6IH,REYNOLDS 25sq FT ALUMINUM FOIL,FBA,1.5,9.86,1.48,3.24,3.14,31.9,157.1,0,487748,False,marginal
814655035115,B08KSHGS5K,GLOBAL 30CT 4PK ALOE ASST FCL WIPES,FBA,1.8,12.99,1.95,5.61,3.13,24.1,136.2,100,11623,False,buy
309978695301,B00E4MNLKQ,COLORSILK 3N DARK BROWN,FBA,2.15,11.99,1.8,4.76,2.78,23.2,105.0,0,7374,False,marginal
309978695547,B00DZQ6YOC,COLORSILK 5G LIGHT GOLDEN BROWN,FBA,2.15,11.99,1.8,4.76,2.78,23.2,105.0,50,7374,False,buy
037000823650,B00GW6B870,GAIN 34CT DRYER SHEET ORIGINAL,FBA,1.8,9.96,1.49,3.43,2.74,27.5,119.0,0,172387,False,marginal
