UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
071662078096,B00KOANQD4,CRAYOLA WASH CLASSIC 8CT MARKR FINE,FBM,2.25,80.15,12.02,7.0,58.88,73.5,2616.8,0,724578,False,marginal
022796900104,B00QSKVEDS,OGX 13z SHMP ARGAN OIL OF MOROCCO,FBM,4.75,63.49,9.52,5.0,44.22,69.6,930.9,0,0,False,marginal
047400695252,B0DTJM6TW2,GILLETTE VENUS INTMTE 8 REFL+1 RAZR,FBM,15.0,52.15,7.82,5.0,24.33,46.6,162.2,0,522802,False,marginal
071662086107,B00CEHAB60,CRAYOLA 10CT SUPER TIPS WSHBLE MRKS,FBM,1.4,32.11,4.82,5.0,20.89,65.1,1492.4,0,1261455,False,marginal
8710908565250,B010OVTTCY,DOVE 4PK 3.17z PINK BAR SOAP,FBM,2.92,32.99,4.95,7.0,18.12,54.9,620.6,0,439610,False,marginal
037000218548,B01IA98Q2Q,SAFEGUARD 8PK 4z BEIGE BAR SOAP,FBM,5.75,33.99,5.1,7.0,16.14,47.5,280.7,600,31879,False,buy
051125006804,B0BK8K1PPM,POST IT NOTE 24CT 70SHT 3x3 ASSTD,FBM,15.0,40.47,6.07,5.0,14.4,35.6,96.0,0,1071985,False,marginal
030772182482,B0FPHVTPXJ,NATIVE 16.5z CD WATRMELON,FBM,5.75,30.0,4.5,7.0,12.75,42.5,221.7,0,257171,False,marginal
4801010561309,B004S3SNQS,J&J 75GM BLOSSOMS BABY SOAP,FBM,0.65,24.0,3.6,7.0,12.75,53.1,1961.5,50,15438,False,buy
022400450711,B0FZWF62S2,TRESEMME 40z COND RICH MSTRE W/PMP,FBM,3.6,29.99,4.5,9.5,12.39,41.3,344.2,0,206679,False,marginal
046500216121,B00W4EZ2Z8,RAID 12z ANT & ROACH OUTDOOR FRESH,FBM,3.5,26.68,4.0,7.0,12.18,45.6,347.9,0,268641,False,marginal
037000003823,B081HXXYSF,CREST 4.6z KIDS TP CVTY PRTCT SPRKL,FBM,1.75,23.75,3.56,7.0,11.44,48.2,653.6,0,6800,False,marginal
012044010716,B001E5E29K,OLD SPICE 6.37z CLASSIC AFTR SHVE,FBM,6.0,28.6,4.29,7.0,11.31,39.5,188.5,300,7263,False,buy
815214001008,B06VVQ289Y,SUNAROMA ORGNC 8z SOAP COCONUT OIL,FBM,3.5,28.32,4.25,9.5,11.07,39.1,316.3,50,70067,False,buy
069055137147,B0BNLYQCZG,BRAUN 8PC TRIMMER KIT ALLn1 3 SET,FBM,18.0,39.94,5.99,5.0,10.95,27.4,60.8,50,63471,True,skip
037000945505,B06XRVTF18,OLAY 6PK 3.75z SOAP ULT MSTR SHEA,FBM,6.5,28.24,4.24,7.0,10.5,37.2,161.6,0,1388453,False,marginal
030772182451,B0F6ZV6Z13,NATIVE 16.5z SH PASSIONFRUIT,FBM,5.75,24.98,3.75,7.0,8.48,34.0,147.5,0,174731,False,marginal
815214000988,B07J21DDPN,SUNAROMA ORGNC 8z SOAP CHARCOAL,FBM,3.5,22.26,3.34,7.0,8.42,37.8,240.6,0,451534,False,marginal
300410107949,B09BBG9QBZ,ORAL-B 75CT FLOSS PICK MINT SCOPE,FBM,1.5,16.99,2.55,5.0,7.94,46.7,529.4,100,102783,False,buy
071662040123,B07TXJWSMQ,CRAYOLA COLOR PENCIL LONG 12 CT,FBM,1.65,19.39,2.91,7.0,7.83,40.4,474.6,0,826317,False,marginal
071662303129,B07LHFL8K2,CRAYOLA 8CT MODELING CLAY,FBM,1.2,18.66,2.8,7.0,7.66,41.1,638.4,0,345125,False,marginal
035000510976,B01BNF0SA2,COLGATE 8z T/P BSP WHTNG MINT ZING,FBM,1.95,22.45,3.37,9.5,7.63,34.0,391.4,200,61812,False,buy
672935781387,B00CKBO72O,CLOSE UP 2PK T/B ACTIVE MEDIUM,FBM,0.96,15.95,2.39,5.0,7.6,47.6,791.4,0,656536,False,marginal
071662505042,B08L6BJ1QZ,CRAYOLA 50CT SUPER TIPS WSHBLE MRKR,FBM,6.0,21.75,3.26,5.0,7.49,34.4,124.8,0,1089412,False,marginal
033200180135,B014LSLCGM,A&H 6z 2PK TP ADVANCE WHITE CLN MNT,FBM,3.75,19.02,2.85,5.0,7.42,39.0,197.8,0,390929,False,marginal
058000311459,B00LM93MGC,COLGATE 1TB CHARCOAL ULTRA SOFT,FBM,0.85,14.99,2.25,5.0,6.89,46.0,810.8,0,571919,False,marginal
815214001169,B07CGJDCRN,SUNAROMA ORGNC 8z SOAP PATCHOULI,FBM,3.5,19.44,2.92,7.0,6.02,31.0,172.1,0,271194,False,marginal
071662244125,B0033LWZH4,CRAYOLA 12CT ERASABLE COLORED PNCLS,FBM,2.75,15.99,2.4,5.0,5.84,36.5,212.4,100,78864,False,buy
812154038118,B0CZM7HWF9,NATIVE 3z SH EUCAL&MINT 2N1 SCALP,FBM,1.4,14.16,2.12,5.0,5.64,39.8,402.6,0,320494,False,marginal
030772163962,B0DSCQCHZG,OLAY 8PK 3.17z SOAP ULT MSTR SNSTV,FBM,6.0,19.99,3.0,7.0,3.99,20.0,66.5,0,10829,False,marginal
030772053874,B0DM69PDKL,CREST 3z 3D WHITE TP ADC HYDGN PRXD,FBM,2.4,12.98,1.95,5.0,3.63,28.0,151.4,50,136361,False,buy
190679005182,B08Z2Q2S4L,HERBAL ESSENCE 29.2z TEA TREE COND,FBM,4.75,17.99,2.7,7.0,3.54,19.7,74.6,50,109807,False,buy
022796900111,B07MYHMFDB,OGX 13z COND ARGAN OIL OF MOROCCO,FBM,4.75,14.98,2.25,5.0,2.98,19.9,62.8,0,1660631,False,marginal
071641160262,B0H1DLJWD8,EXPO 21PK DRY ERASE MARKERS ASSTD,FBM,8.4,18.99,2.85,5.0,2.74,14.4,32.6,400,20794,False,marginal
300410107932,B0CQ3SSG3M,ORAL-B 30CT FLOSS PICKS MINT SCOPE,FBM,0.85,9.94,1.49,5.0,2.6,26.1,305.8,0,579238,False,marginal
012044049938,B0B997S2ZM,OLD SPICE 14.8z GM TEATREE 2N1 SH/C,FBM,4.0,15.99,2.4,7.0,2.59,16.2,64.8,0,277570,False,marginal
071641109391,B08H4VDJY7,SHARPIE 5CT PAINT PEN OIL BASE FINE,FBM,5.5,14.8,2.22,5.0,2.08,14.1,37.8,50,50010,False,marginal
037000851936,B091133VD1,CREST CMPLTE+SCOPE 5.4z 4PK T/P,FBM,1.8,10.19,1.53,5.0,1.86,18.3,103.4,0,714641,False,marginal
815214000971,B07MTPFXB5,SUNAROMA ORGNC 8z SOAP EUCALYPTUS,FBM,3.5,14.4,2.16,7.0,1.74,12.1,49.7,0,480036,False,marginal
037000951438,B01HFWIKH0,CREST 4.2z KID T/P CVTY GUM FLVR,FBM,1.75,9.99,1.5,5.0,1.74,17.4,99.5,100,107061,False,buy
071662830090,B004ILZRU0,CRAYOLA BLUNT TIP SCISSOR BLUE,FBM,1.1,9.02,1.35,5.0,1.57,17.4,142.5,0,246514,False,marginal
7702018980932,B005Y0RMEI,GILLETTE 200ML SHAVE FOAM SENSTIVE,FBM,2.0,9.98,1.5,5.0,1.48,14.9,74.2,500,36051,False,marginal
080878195626,B09M18JR2J,PANTENE PRO-V 12z SH RADNT CLR SHNE,FBM,4.5,12.71,1.91,5.0,1.3,10.3,29.0,0,515522,False,marginal
850035181836,B0744KM1FV,PEARS 3PK 4.4z SOAP YLLW W/PLNT OIL,FBM,2.4,9.99,1.5,5.0,1.09,10.9,45.5,100,8497,False,marginal
047400240407,B000WBOONG,GILLETTE 11z FOAMY REGULAR,FBM,2.5,9.99,1.5,5.0,0.99,9.9,39.7,0,1314754,False,marginal
3014260287030,B005LVE19O,GILLETTE 2 5CT RAZOR,FBM,1.25,8.4,1.26,5.0,0.89,10.6,71.2,300,50857,False,marginal
080878195558,B09K1YFVBD,PANTENE PRO-V 12z 2n1 DAILY MSTRE,FBM,4.5,11.99,1.8,5.0,0.69,5.8,15.4,200,105074,False,marginal
071662300814,B091JCQ4FD,CRAYOLA 20CT WONDER MRKR PUNTA FINE,FBM,2.0,8.99,1.35,5.0,0.64,7.1,32.1,50,87742,False,marginal
030772057223,B0CTVY1DZJ,CREST 2.6z TP PRO-HEALTH CLN MINT,FBM,0.84,7.57,1.14,5.0,0.59,7.9,70.8,600,31477,False,marginal
047400690615,B0CQ63ZP9P,GILLETTE 5oz SKNGRD DAILY FACE SCRB,FBM,2.75,9.79,1.47,5.0,0.57,5.8,20.8,100,74412,False,marginal
080878194957,B09JL2XTTB,PANTENE 10.4z CD DAILY MSTRE TUBE,FBM,4.4,11.65,1.75,5.0,0.5,4.3,11.4,100,188513,False,marginal
