UPC,ASIN,Sell,Cost,Fees,Profit,Margin%,ROI%,BSR,AmzBB,Verdict
019200028455,B01IAI1WPK,49.36,3.68,17.10,28.08,56.9,671.7,0,False,marginal
037000933311,B081D6KQDK,41.99,2.78,11.20,27.51,65.5,838.8,359565,False,marginal
035000393753,B017II5CPY,37.00,2.92,9.90,23.68,64.0,692.4,562162,False,marginal
037000780120,B07CY2S5NS,37.53,5.20,11.24,20.59,54.9,361.2,0,False,marginal
012044389706,B01IAE0CO6,34.10,3.07,11.22,19.31,56.6,541.0,989915,False,marginal
037000962502,B07SQFPN63,28.99,2.60,7.85,18.04,62.2,582.0,0,False,marginal
037000524014,B01LXJE08R,31.05,1.06,14.19,15.30,49.3,980.9,378403,False,marginal
037000976189,B082VFDN6X,27.99,2.23,12.57,12.69,45.3,464.9,178555,False,marginal
033200001799,B07QNZF3R6,21.90,2.42,7.15,11.83,54.0,405.3,76179,False,marginal
030772176924,B0FPHKTM74,24.00,4.72,7.10,11.68,48.7,223.8,0,False,marginal
030772084991,B0CCGVFRJM,27.88,6.83,8.94,11.61,41.6,158.4,1368,False,marginal
037000124344,B00J0KPJE8,25.99,6.27,7.99,11.23,43.2,165.9,0,False,marginal
035000983350,B09XBVLK6P,23.99,3.30,9.21,10.98,45.8,289.0,466458,False,marginal
094514000137,B0CD1ZY9PK,24.99,6.75,7.61,10.13,40.5,139.7,876518,False,marginal
4987176177773,B0FGL1B3C9,18.90,2.21,6.69,9.49,50.2,350.4,218632,False,marginal
030772061800,B0GJDJDLP2,26.41,9.45,7.46,9.00,34.1,90.4,241989,False,marginal
037000807209,B07NDS9M84,19.99,3.68,7.76,8.05,40.3,192.6,681645,False,marginal
073852096521,B01IAI1C9Q,22.44,3.00,11.14,7.80,34.8,223.0,482270,False,marginal
012587223376,B0DSGHRYM1,28.38,9.75,10.39,7.74,27.3,75.5,398053,False,marginal
037000889175,B01IAIN0RI,27.31,7.56,11.73,7.52,27.5,93.3,117694,False,marginal
305215070009,B01FJ91RSK,18.80,1.98,8.95,7.37,39.2,297.2,693022,False,marginal
044600016658,B00C4TSPL6,14.50,0.67,6.03,7.29,50.3,623.5,114925,False,marginal
073010421103,B00H3R9AKO,20.33,6.10,6.55,7.18,35.3,108.8,0,False,marginal
036000548983,B0CDQ4J3B1,16.88,2.63,6.88,6.87,40.7,219.4,176373,False,marginal
036000549010,B0BLGS1PPD,20.94,5.00,8.90,6.54,31.2,118.9,12646,False,buy
030772073919,B0DM6DK6VT,21.00,5.04,9.17,6.29,30.0,113.5,459442,False,marginal
017000092881,B00K592PIG,19.98,2.79,10.55,6.14,30.7,186.7,487385,False,marginal
017000071916,B07TWNQQ4N,18.08,2.79,9.02,5.77,31.9,175.3,796904,False,marginal
305215163282,B00H86VHCE,18.00,3.05,8.83,5.62,31.2,158.3,1680650,False,marginal
037000124450,B003O4HDJ0,15.16,1.75,7.49,5.42,35.7,240.7,24403,False,marginal
073854000922,B08RJWMNQF,14.00,2.45,5.64,5.41,38.6,183.4,0,False,marginal
037000821212,B07QVTLR49,18.60,5.00,8.01,5.09,27.4,92.5,668089,False,marginal
035000985200,B08Q4M89K8,17.80,5.25,7.02,5.03,28.3,87.5,52667,False,buy
044600307138,B0751H5GJ7,32.85,14.19,13.14,5.02,15.3,34.2,572807,False,marginal
012044045893,B091L96TZ6,14.96,3.13,6.33,5.00,33.4,137.6,662042,False,marginal
827854009412,B0CM6HW2P6,18.99,3.37,10.15,4.97,26.2,128.5,193946,False,marginal
761720058206,B00061EZFO,31.99,13.16,13.67,4.66,14.6,34.1,86426,False,marginal
030772105689,B0DD28PNW4,21.41,6.83,9.52,4.56,21.3,62.2,4091,False,buy
036000549119,B0BQTL2X4X,18.08,4.72,8.32,4.54,25.1,86.9,12660,False,buy
8999999031046,B06XZMB611,19.80,5.52,9.28,4.50,22.7,74.8,52077,False,buy
077326832936,B00DOV3ZVI,11.05,0.37,5.75,4.43,40.1,509.5,734282,False,marginal
017000046204,B0011WHF0E,15.20,2.79,7.50,4.41,29.0,134.0,211599,False,marginal
037000117131,B08376GSXY,17.79,5.00,8.28,4.01,22.5,72.9,5401,False,marginal
037000117131,B08376GSXY,17.79,5.00,8.28,4.01,22.5,72.9,5401,False,marginal
302990853469,B0FQJVNVD4,17.34,5.04,7.82,3.98,22.9,71.8,8615,False,buy
030772103357,B0CGKYKZPG,18.70,6.83,7.57,3.80,20.3,51.9,44615,False,buy
8999999031022,B06XZYH6YQ,18.94,5.52,9.15,3.77,19.9,62.6,157691,False,marginal
305210221277,B01IAI862M,9.91,1.32,4.50,3.59,36.3,197.4,332032,False,marginal
037000695424,B019FGCM00,16.94,6.29,6.63,3.52,20.8,51.8,38349,False,buy
8999999031053,B06XZZWTL6,18.48,5.52,9.08,3.38,18.3,56.1,74204,False,buy
041840873706,B0779BCVMR,15.36,3.99,7.52,3.35,21.8,74.5,30364,False,marginal
037000808053,B01A4BUDTC,12.81,3.13,6.01,3.17,24.7,87.3,0,False,marginal
030772088777,B0CGG6KC49,25.03,11.86,9.51,3.16,12.6,25.5,128722,False,marginal
030772172179,B0DM6MNL1J,13.50,3.13,6.95,2.92,21.6,80.3,2215,False,buy
035000460264,B07MDHGRCQ,12.89,2.21,7.54,2.64,20.5,97.3,137292,False,marginal
