UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
757037950685,B081J3HGLH,Oxi Clean/Powder/Versatile Stain Remover Odor Blasters/4/48/oz,FBM,6.8275,64.99,9.75,5.0,43.41,66.8,635.9,0,1303888,False,marginal
062338002309,B00CYNKAHY,Spray n' Wash/Trigger/Laundry Pre-Treated Trigger/12/22/oz,FBM,2.0933,58.32,8.75,7.0,40.48,69.4,1933.7,0,403082,False,marginal
305215007005,B00FQRAL6K,Q-Tips/Family Size//12/500/ct,FBM,3.6717,59.82,8.97,15.5,31.68,53.0,862.7,0,1289646,False,marginal
079567490357,B0CWVTFR9S,WD-40/Aerosol//12/2.75/oz,FBM,3.3575,52.11,7.82,9.5,31.44,60.3,936.3,0,128112,False,marginal
035000393753,B017II5CPY,Suavitel/Dryer Sheets/Morning Sun/6/70/ct,FBM,2.9167,36.9,5.54,5.0,23.45,63.5,803.9,100,598489,False,marginal
046500002588,B07S1BDL1M,Pledge/Furniture Polish/Lemon/6/14.2/oz,FBM,5.1933,48.98,7.35,15.5,20.94,42.8,403.2,0,1352656,False,marginal
044600012605,B0036B89IU,Tilex/Trigger/Fresh Shower/9/32/oz,FBM,3.39,46.62,6.99,15.5,20.74,44.5,611.7,0,635690,False,marginal
044600306148,B01IAIOR5C,Clorox/Bathroom/Bleach Foamer Spray/9/30/oz,FBM,3.8567,38.97,5.85,9.5,19.77,50.7,512.6,0,506909,False,marginal
5000204689204,B07CN9T6QH,Pledge/Spray/Multi Surface Classic/12/8.45/oz,FBM,2.2775,31.0,4.65,5.0,19.07,61.5,837.4,0,889816,False,marginal
073852077650,B06XPQCDFX,Purell/Hand Sanitizer Pump/Naturals/12/8/oz,FBM,2.9983,41.11,6.17,15.5,16.45,40.0,548.5,600,59306,True,skip
073852096521,B004ZS7VNM,Purell/Hand Sanitizer Pump/Refreshing Gel/12/8/oz,FBM,2.9983,40.98,6.15,15.5,16.33,39.9,544.8,200,79276,False,buy
054600105689,B07SXD3WQL,Fantastik/All Purpose Cleaner/Bleach/8/32/oz,FBM,3.2088,28.9,4.33,7.0,14.36,49.7,447.4,0,0,False,marginal
