UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
037000124450,B01IA97EHO,Secret/Solid Stick/Shower Fresh/12/1.7/oz,FBA,1.49,31.36,4.7,6.02,18.65,59.5,937.0,0,524344,False,marginal
309978695318,B07H9X4JVJ,Revlon ColorSilk/Hair Color/Dark Auburn #31/12/1/ct,FBA,2.3,30.53,4.58,5.61,17.54,57.5,626.4,0,872939,False,marginal
309978695455,B01MG09QER,Revlon ColorSilk/Hair Color/Bright Auburn #45/12/1/ct,FBA,2.3,24.99,3.75,6.31,12.13,48.5,433.3,0,616311,False,marginal
883484311189,B008L2TRR6,Pert Plus/Shampoo/2 in 1 Anti Dandruff/4/25.4/oz,FBA,4.8925,28.63,4.29,8.46,10.48,36.6,194.4,0,367803,False,marginal
816559019482,B0D66XMDMW,Pert Plus/Shampoo/2 in 1 Scalp Relief Aloe Mint/4/25.4/oz,FBA,4.8925,25.57,3.84,6.02,10.32,40.4,191.4,0,172611,False,marginal
079400499790,B0C4VRW9Q3,"Suave/Shampoo, Conditioner, Body Wash/Kids 3 in 1 Shea Butter Coconut Oil Princess Slaya Pump/4/28/oz",FBA,1.49,19.99,3.0,7.55,7.45,37.3,374.4,0,507012,False,marginal
309976623498,B0039YQG8Y,Revlon ColorSilk/Hair Color/Auburn Brown #49/12/1/ct,FBA,2.3,17.49,2.62,5.61,6.46,36.9,230.6,0,7557,False,marginal
030772064030,B0B95S8HVV,Head & Shoulders/Shampoo/Dry Scalp Care 2 in 1 WPump/4/28.2/oz,FBA,9.4475,26.05,3.91,6.13,6.07,23.3,61.0,50,277260,False,marginal
819156022459,B0GHP2ZBP8,Hello/Deodorant Solid/Sage+Eucallyptus/12/2.6/oz,FBA,2.6192,13.9,2.08,4.09,4.61,33.1,147.7,0,346726,False,marginal
080878195299,B09XVNRZB6,Pantene/Shampoo/Classic Clean 2 in 1 WPump/4/27.7/oz,FBA,7.49,20.99,3.15,5.28,4.57,21.8,57.2,0,181308,False,marginal
037000124429,B01IAHYIWK,Secret/Solid Stick/Powder/12/1.7/oz,FBA,1.49,12.89,1.93,4.76,4.21,32.6,211.4,0,178428,False,marginal
030772063521,B0C3F3ZJ4J,Head & Shoulders/Shampoo/Dry Scalp Care/4/20.7/oz,FBA,7.5625,20.24,3.04,5.76,3.38,16.7,41.9,0,574432,False,marginal
