UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
025700003816,B002YX0RAE,Ziploc Freezer Quart Bags 38 bags 75/pt 9/cs,FBA,0.4444,53.48,8.02,12.25,32.26,60.3,3416.3,0,871065,False,marginal
022400643168,B00FQRA3B8,Tresseme Mousse Extra Hold 10.5oz 248/pt 6/cs,FBA,0.9583,48.67,7.3,8.35,31.56,64.8,2164.2,0,683203,False,marginal
034000502349,B00BFARV9M,Twizzlers Rainbow Candy Straws 12.4oz Bag 80/pt 14/cs,FBA,0.0607,15.38,2.31,4.76,7.75,50.4,1382.6,0,325608,False,marginal
022400005218,B000UWDF0A,Tresseme Hair Spray Two hours Extra Hold 11oz 6/cs,FBA,0.9583,14.71,2.21,5.37,5.68,38.6,389.2,200,74150,False,buy
022400640457,B00SD8K88A,Tresseme Freeze Hold Hair Spray 11oz 156/pt 6/cs,FBA,0.975,12.17,1.83,5.37,3.5,28.8,237.3,100,74154,False,buy
062338779409,B000VPBNJQ,Woolite Liquid Laundry Detergent Damage Defense 50 oz 48/pt 6/cs,FBA,1.4583,14.99,2.25,7.46,3.32,22.2,169.7,100,7822,False,buy
025700003205,B000SRMDFA,Ziploc Storage Gallon 38ct 60/pt 9/cs,FBA,0.5389,8.04,1.21,4.37,1.43,17.7,137.2,0,54118,False,marginal
025700711391,B00OD31IPG,Ziploc Sandwich Bags 40ct 12/cs,FBA,0.2042,5.99,0.9,3.24,1.15,19.2,162.9,100,128343,False,buy
8886467060861,B0BW4PX1S1,"Vaseline Healthy Plus Bar Soap, Total Moisture, Soy Protein + Oat Extract Pack of 3 x 75g/2.64oz 66/pt 48/cs",FBA,0.0417,5.5,0.82,3.5,0.63,11.5,116.9,200,49241,False,marginal
8886467060854,B0BTJ11RN9,Vaseline Healthy Plus Bar Soap Healthy Bright with Vitamin B3 - Pack of 3 x 75g/2.64oz 66/pt 48/cs,FBA,0.0417,5.48,0.82,3.5,0.62,11.2,113.8,300,33771,False,marginal
076828046728,B005FQLOJK,Wet Ones Antibacterial Hand Wipes Tropical Splash 40ct 84/pt 12/cs,FBA,0.1875,6.49,0.97,4.99,-0.16,-2.5,-23.4,0,1002289,False,skip
019800707651,B075NPQDTG,Windex Glass & More Multi-Surface Cleaner 32 oz 52/pt 8/cs,FBA,0.45,6.99,1.05,5.28,-0.29,-4.1,-30.4,100,42126,False,skip
034000560431,B000WG8Z6I,Twizzler Pull N Peal Cherry 14oz Bag 48/pt 24/cs,FBA,0.0604,3.48,0.52,3.91,-1.51,-43.5,-269.9,7000,966,True,skip
062338769745,B00IB199HU,Woolite Laundry Detergent - For All Darks Concentrated 50 oz 48/pt 6/cs,FBA,1.4583,8.01,1.2,6.61,-1.76,-22.0,-89.9,10000,1427,True,skip
034000560233,B00IAE9HY8,Twizlers Cherry Bites 16oz 12/cs,FBA,0.1625,3.48,0.52,4.37,-2.07,-59.6,-313.1,200,11062,True,skip
034000541508,B00CQQRIKG,Twizzlers (cherry bites) 5oz box 12/cs,FBA,0.075,0.0,0.3,3.5,-4.38,0.0,-760.9,0,567477,False,skip
059200707073,B084DKFS9C,Windex Nature's Source Natural Glass Surface Cleaner 765 ml 68/pt 8/cs,FBA,0.4375,0.0,0.3,4.95,-6.19,0.0,-660.0,0,0,False,skip
025700003991,B003UEJ62Q,Ziploc Freezer Pint 20ct 12/cs,FBA,0.2917,0.0,0.3,5.63,-6.72,0.0,-849.0,0,684886,False,skip
