UPC,ASIN,Description,Channel,Cost,Sell Price,Referral Fee,Fulfillment Fee,Profit/Unit,Margin %,ROI %,Units/mo,BSR,Amazon Buy Box,Verdict
021200698835,B0BK8KV421,"Scotch Magic Invisible Tape 3/4 IN x 1296 IN (36 YD) 19 mm x 32,9 m 3pk (12/4/3pk) 48/cs",FBA,0.0875,413.73,62.06,12.0,339.08,82.0,57716.3,0,0,False,marginal
037000179023,B01IAI47UM,"ALWAYS Maxi Size 5 Extra Heavy Overnight Pads With Wings Unscented, 20 Count 45/pt 6/cs",FBA,1.0417,106.26,15.94,15.29,73.49,69.2,4766.8,0,781386,False,marginal
011111125186,B0087W43C4,Dove Body Wash 20oz Gentle Exfoliating 192/pt 4/cs,FBA,1.625,75.1,11.27,9.39,52.32,69.7,2462.1,0,0,False,marginal
011111123311,B00OQJCWGQ,Dove Body Wash 20oz refresh Cucumber + Green Tea 192/pt 4/cs,FBA,1.625,69.99,10.5,9.8,47.57,68.0,2238.4,0,1451659,False,marginal
030772191224,B0DXLG8P6N,"Gain Liquid Laundry Detergent 132oz Display, 18/Moonlight Breeze, 18/Original, 2/pt 36/cs",FBA,0.375,39.97,6.0,9.62,23.48,58.7,2683.4,0,0,False,marginal
022600210313,B01IA9BHHW,Nair Hair Face Cream Remover Moisturizing with Sweet Almond Oil - 2 Oz (4x3pk) 12/cs,FBA,0.4167,29.29,4.39,5.61,18.37,62.7,2003.9,0,258593,False,marginal
030772100318,B0GJZZV7YB,"Downy Fabric Softener Liquid (Fabric Conditioner), April Fresh Scent, 88 fl oz, 120 Loads 4/cs",FBA,2.875,28.99,4.35,3.5,17.77,61.3,526.4,0,644036,False,marginal
022600019572,B01BH6T0Q0,Nair Wax Ready Strips Face and Bikini Orchid and Cherry Blossom Extracts 40 Wax Strips +4 Post Wipes,FBA,0.4167,26.15,3.92,4.76,16.55,63.3,1805.5,0,357288,False,marginal
030772156773,B0DSGJB36N,Olay Body Wash 33oz Ultra Moisture Hydratant Renews Extra Dry Skin 152/pt 4/cs,FBA,1.6875,29.3,4.39,6.31,16.41,56.0,750.1,0,7259,False,marginal
034000462988,B0FTZN267Z,"Reese's, Kit Kat, HERSHEY'S Miniatures Assorted Milk Chocolate Candy - 24.8oz 32/pt 8/cs",FBA,0.8438,22.82,3.42,5.76,12.29,53.9,914.8,0,0,False,marginal
030772094662,B0C9H1WSHH,Gain Liquid Laundry Detergent 88oz +Ultra Oxi Waterfall Delight 52/pt 4/cs,FBA,3.0625,28.28,4.24,8.29,12.19,43.1,342.0,0,6494,False,marginal
022400623740,B00NFUA8QS,Tresemme Extra Hold hair Gel 9oz 280/pt 6/cs,FBA,0.9583,21.12,3.17,4.35,12.14,57.5,832.7,0,2190,False,marginal
034000463053,B0FTZPSXLS,HERSHEY'S Miniatures Assorted Chocolate Candy 30oz 32/pt 8/cs,FBA,0.8438,22.83,3.42,6.02,12.04,52.7,896.1,8000,3923,False,buy
062338857237,B07L4YJWQ5,Air Wick Plug in Scented Oil Starter Kit (Warmer + 1 Refill 0.67oz) Fresh Linen 4/cs,FBA,0.775,18.99,2.85,3.5,11.37,59.9,891.5,0,0,False,marginal
011111076242,B075B4J95B,"Dove Shea Butter Beauty Bar, 3.75 oz, 2 Bar 24/cs",FBA,0.1042,19.99,3.0,5.22,11.17,55.9,1848.3,0,264633,False,marginal
034000938483,B09JJKBBY6,"HERSHEY'S Chocolate with Almonds Candy Bars Zero Sugar , 5.1 oz 65/pt 8/cs",FBA,0.2437,19.09,2.86,4.35,11.13,58.3,1496.9,0,219523,False,marginal
034000669219,B0D1HVGZ47,Hershey Assorted Caramel Candy Box 18 Pieces 29.4 oz 133/pt 6/cs,FBA,1.5833,22.49,3.37,6.02,11.01,49.0,528.6,1000,9163,False,buy
011111124257,B00I69EMOW,Dove Body wash 20oz Deep Moisture 192/pt 4/cs,FBA,1.625,21.18,3.18,5.61,10.27,48.5,483.2,0,1000010,False,marginal
030772122488,B08QBV9DJ5,Tide Liquid Laundry Detergent 84oz Ultra Hygienic Clean 65/pt 4/cs,FBA,3.9375,26.89,4.03,8.62,9.8,36.4,220.8,100,47047,False,buy
030772033456,B09TWVDWC7,"Always Ultra Thin Pads with Wings, Size 3 ,17 Count 128/plt 6/cs",FBA,0.75,17.95,2.69,4.35,9.66,53.8,772.6,0,739827,False,marginal
034000467198,B0GGMXM2L6,REESE'S Assorted Peanut Butter Candy Variety Pack 18ct Total 27.2oz5 0/pt 6/cs,FBA,1.5833,20.85,3.13,6.02,9.62,46.1,461.7,400,21395,False,buy
037000821212,B07QVTLR49,"ALWAYS Infinity Flex Foam size 5, 11 each 6/cs",FBA,0.825,17.99,2.7,5.22,8.75,48.6,660.1,0,690183,False,marginal
